---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.FileName = "RASI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RASI.MarkerPositionFile.pz
 4.427368789808925e+000   4.278652878427279e-001  -4.822304710249888e-001   9.782918836335157e-001
 4.440054140127396e+000   4.411075287465608e-001  -4.822140594798477e-001   9.769447783359847e-001
 4.452739490445867e+000   4.543352383458897e-001  -4.821557876737845e-001   9.753573945051965e-001
 4.465424840764339e+000   4.675258985443254e-001  -4.820840741665770e-001   9.735425049716473e-001
 4.478110191082810e+000   4.806746272028028e-001  -4.820133539473897e-001   9.715243950204495e-001
 4.490795541401282e+000   4.938112403415693e-001  -4.819339629707716e-001   9.693440780104144e-001
 4.503480891719753e+000   5.070083881589372e-001  -4.818160485432178e-001   9.670599809874931e-001
 4.516166242038224e+000   5.203705069836430e-001  -4.816301370794263e-001   9.647381937998204e-001
 4.528851592356696e+000   5.340113565464032e-001  -4.813579354489455e-001   9.624382121117873e-001
 4.541536942675167e+000   5.480334772140696e-001  -4.809822829514490e-001   9.602032332235893e-001
 4.554222292993639e+000   5.625191882353978e-001  -4.804785373868175e-001   9.580590800749879e-001
 4.566907643312110e+000   5.775277739882706e-001  -4.798151081601916e-001   9.560192321293030e-001
 4.579592993630581e+000   5.930901712983694e-001  -4.789574252675190e-001   9.540929667669277e-001
 4.592278343949053e+000   6.092026231587028e-001  -4.778716512738588e-001   9.522943509784162e-001
 4.604963694267524e+000   6.258246955185145e-001  -4.765287794251835e-001   9.506491332886192e-001
 4.617649044585996e+000   6.428785322236946e-001  -4.749109181068564e-001   9.491959313436794e-001
 4.630334394904467e+000   6.602516509299757e-001  -4.730199152597995e-001   9.479824481549027e-001
 4.643019745222938e+000   6.778064952412070e-001  -4.708874358284880e-001   9.470629887963300e-001
 4.655705095541410e+000   6.954058898400189e-001  -4.685764319811118e-001   9.465005115424596e-001
