---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.FileName = "LHEE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LHEE.MarkerPositionFile.pz
 4.287829936305739e+000  -6.147806300444335e-002  -2.584192793176334e-001   2.370822096338999e-001
 4.300515286624211e+000  -2.408840824070241e-002  -2.630141111373942e-001   2.247219946499813e-001
 4.313200636942682e+000   1.471630691970097e-002  -2.673832280756512e-001   2.107137287298546e-001
 4.325885987261153e+000   5.500183606325319e-002  -2.714497444296118e-001   1.954535354105177e-001
 4.338571337579625e+000   9.680470310209813e-002  -2.751369504860357e-001   1.793677438217356e-001
 4.351256687898096e+000   1.401130277345249e-001  -2.783792966974156e-001   1.628799346641973e-001
 4.363942038216568e+000   1.848567092042560e-001  -2.811129999754744e-001   1.464011423529626e-001
 4.376627388535039e+000   2.309066391497986e-001  -2.832653731375191e-001   1.303219874996543e-001
 4.389312738853510e+000   2.780765439621148e-001  -2.847582317750535e-001   1.149983948212467e-001
 4.401998089171982e+000   3.261130796586784e-001  -2.855181337738051e-001   1.007438417220061e-001
 4.414683439490453e+000   3.746799180598249e-001  -2.854911182724976e-001   8.783113343018517e-002
 4.427368789808925e+000   4.233502038640525e-001  -2.846600819501169e-001   7.648686515437164e-002
 4.440054140127396e+000   4.716132042799726e-001  -2.830579085532773e-001   6.686565582350000e-002
 4.452739490445867e+000   5.188872063957419e-001  -2.807745222593568e-001   5.902464242823926e-002
 4.465424840764339e+000   5.645327441058213e-001  -2.779586864519568e-001   5.291630948805264e-002
 4.478110191082810e+000   6.078705573577500e-001  -2.748111598977537e-001   4.839428901599130e-002
 4.490795541401282e+000   6.482125644051816e-001  -2.715674762714718e-001   4.522545645762301e-002
 4.503480891719753e+000   6.849093544624024e-001  -2.684677580871830e-001   4.311103559448561e-002
 4.516166242038224e+000   7.174088295228829e-001  -2.657211607700979e-001   4.172028821263146e-002
 4.528851592356696e+000   7.453165617850112e-001  -2.634780050829536e-001   4.074040254975443e-002
 4.541536942675167e+000   7.684552617520853e-001  -2.618109375326772e-001   3.993403849232370e-002
 4.554222292993639e+000   7.869048356025941e-001  -2.607068491913948e-001   3.918126080207735e-002
 4.566907643312110e+000   8.010119931742713e-001  -2.600730019161373e-001   3.849110295270438e-002
 4.579592993630581e+000   8.113498501956284e-001  -2.597639267607367e-001   3.797414630791392e-002
 4.592278343949053e+000   8.186330367608518e-001  -2.596186257000161e-001   3.778084368654677e-002
 4.604963694267524e+000   8.235972759576170e-001  -2.594940060169713e-001   3.801674470888959e-002
 4.617649044585996e+000   8.268859393320879e-001  -2.592918072879386e-001   3.868080097632830e-002
 4.630334394904467e+000   8.289995416076986e-001  -2.589790924826395e-001   3.967431067889006e-002
 4.643019745222938e+000   8.303178069481606e-001  -2.585850252054261e-001   4.085674727244303e-002
 4.655705095541410e+000   8.311434918431857e-001  -2.581712437875784e-001   4.209364848938949e-002
 4.668390445859881e+000   8.317264179419296e-001  -2.578040268156971e-001   4.327714976135415e-002
 4.681075796178353e+000   8.322830109897845e-001  -2.575405797685499e-001   4.433423885100961e-002
 4.693761146496824e+000   8.330204674413634e-001  -2.574277562279307e-001   4.523196084731723e-002
 4.706446496815295e+000   8.341498486082003e-001  -2.575071762328968e-001   4.597323323961194e-002
 4.719131847133767e+000   8.358804396853348e-001  -2.578201293195813e-001   4.658419344065246e-002
 4.731817197452238e+000   8.383969031545459e-001  -2.584075313693780e-001   4.710210232345638e-002
 4.744502547770710e+000   8.418163999225951e-001  -2.592996025646510e-001   4.756553199012265e-002
 4.757187898089181e+000   8.461219763490873e-001  -2.604928782606636e-001   4.800468782364888e-002
 4.769873248407652e+000   8.510739868394438e-001  -2.619181548253030e-001   4.843398530260958e-002
 4.782558598726124e+000   8.560975811313262e-001  -2.634020806437553e-001   4.884598766378554e-002
 4.795243949044595e+000   8.601615056612890e-001  -2.646281751975834e-001   4.920389163257433e-002
 4.807929299363067e+000   8.616538333261318e-001  -2.650982633376022e-001   4.943252815145004e-002
 4.820614649681538e+000   8.582947538880050e-001  -2.641056885673954e-001   4.941149687270083e-002
 4.833300000000009e+000   8.471125154613555e-001  -2.607276713042700e-001   4.897162926308817e-002
