---- AnyBody Output File ---------------------------------
Study: Main.OptStudy
Operation: Main.OptStudy.InverseDynamicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.OptStudy.MuscleOutputs.FileName = "MuscleActivityOutputs.txt"
Main.OptStudy.MuscleOutputs.Search = "Main.HumanModel.BodyModel.*.Leg.Mus.*.Activity"
Main.OptStudy.MuscleOutputs.SepSign = ","
Main.OptStudy.MuscleOutputs.LineSepSign = ""
Main.OptStudy.MuscleOutputs.Header.TitleSectionOnOff = On
Main.OptStudy.MuscleOutputs.Header.ConstSectionOnOff = On
Main.OptStudy.MuscleOutputs.Header.VarSectionOnOff = On
Main.OptStudy.MuscleOutputs.Header.ColumnNamesOnOff = On
Main.OptStudy.MuscleOutputs.Header.LinePrefix = ""
Main.OptStudy.MuscleOutputs.NumberFormat.Digits = 15
Main.OptStudy.MuscleOutputs.OutName = "MuscleActivityOutputs.txt"
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.OptStudy.t
col184  Main.HumanModel.BodyModel.Left.Leg.Mus.PeroneusBrevis3.Activity
col185  Main.HumanModel.BodyModel.Left.Leg.Mus.PeroneusLongus1.Activity
col186  Main.HumanModel.BodyModel.Left.Leg.Mus.PeroneusLongus2.Activity
col187  Main.HumanModel.BodyModel.Left.Leg.Mus.PeroneusLongus3.Activity
col188  Main.HumanModel.BodyModel.Left.Leg.Mus.PeroneusTertius1.Activity
col189  Main.HumanModel.BodyModel.Left.Leg.Mus.PeroneusTertius2.Activity
col190  Main.HumanModel.BodyModel.Left.Leg.Mus.PeroneusTertius3.Activity
col191  Main.HumanModel.BodyModel.Left.Leg.Mus.ExtensorDigitorumLongus1.Activity
col192  Main.HumanModel.BodyModel.Left.Leg.Mus.ExtensorDigitorumLongus2.Activity
col193  Main.HumanModel.BodyModel.Left.Leg.Mus.ExtensorDigitorumLongus3.Activity
col194  Main.HumanModel.BodyModel.Left.Leg.Mus.ExtensorHallucisLongus1.Activity
col195  Main.HumanModel.BodyModel.Left.Leg.Mus.ExtensorHallucisLongus2.Activity
col196  Main.HumanModel.BodyModel.Left.Leg.Mus.ExtensorHallucisLongus3.Activity
col197  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusLateralisInferior1.Activity
col198  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusLateralisInferior2.Activity
col199  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusLateralisInferior3.Activity
col200  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusLateralisInferior4.Activity
col201  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusLateralisInferior5.Activity
col202  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusLateralisInferior6.Activity
col203  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusLateralisSuperior7.Activity
col204  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusLateralisSuperior8.Activity
col205  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusMedialisInferior1.Activity
col206  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusMedialisInferior2.Activity
col207  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusMedialisMid3.Activity
col208  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusMedialisMid4.Activity
col209  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusMedialisSuperior5.Activity
col210  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusMedialisSuperior6.Activity
col211  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusMedialisSuperior7.Activity
col212  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusMedialisSuperior8.Activity
col213  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusMedialisSuperior9.Activity
col214  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusMedialisSuperior10.Activity
col215  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusIntermedius1.Activity
col216  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusIntermedius2.Activity
col217  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusIntermedius3.Activity
col218  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusIntermedius4.Activity
col219  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusIntermedius5.Activity
col220  Main.HumanModel.BodyModel.Left.Leg.Mus.VastusIntermedius6.Activity
col221  Main.HumanModel.BodyModel.Left.Leg.Mus.RectusFemoris1.Activity
col222  Main.HumanModel.BodyModel.Left.Leg.Mus.RectusFemoris2.Activity
col223  Main.HumanModel.BodyModel.Left.Leg.Mus.Semitendinosus1.Activity
col224  Main.HumanModel.BodyModel.Left.Leg.Mus.Semimembranosus1.Activity
col225  Main.HumanModel.BodyModel.Left.Leg.Mus.BicepsFemorisCaputLongum1.Activity
col226  Main.HumanModel.BodyModel.Left.Leg.Mus.BicepsFemorisCaputBreve1.Activity
col227  Main.HumanModel.BodyModel.Left.Leg.Mus.BicepsFemorisCaputBreve2.Activity
col228  Main.HumanModel.BodyModel.Left.Leg.Mus.SartoriusProximal1.Activity
col229  Main.HumanModel.BodyModel.Left.Leg.Mus.SartoriusDistal1.Activity
col230  Main.HumanModel.BodyModel.Left.Leg.Mus.IliacusLateralis1.Activity
col231  Main.HumanModel.BodyModel.Left.Leg.Mus.IliacusLateralis2.Activity
col232  Main.HumanModel.BodyModel.Left.Leg.Mus.IliacusLateralis3.Activity
col233  Main.HumanModel.BodyModel.Left.Leg.Mus.IliacusMid1.Activity
col234  Main.HumanModel.BodyModel.Left.Leg.Mus.IliacusMid2.Activity
col235  Main.HumanModel.BodyModel.Left.Leg.Mus.IliacusMid3.Activity
col236  Main.HumanModel.BodyModel.Left.Leg.Mus.IliacusMedialis1.Activity
col237  Main.HumanModel.BodyModel.Left.Leg.Mus.IliacusMedialis2.Activity
col238  Main.HumanModel.BodyModel.Left.Leg.Mus.IliacusMedialis3.Activity
col239  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMinimusAnterior1.Activity
col240  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMinimusMid1.Activity
col241  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMinimusPosterior1.Activity
col242  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusAnterior1.Activity
col243  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusAnterior2.Activity
col244  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusAnterior3.Activity
col245  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusAnterior4.Activity
col246  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusAnterior5.Activity
col247  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusAnterior6.Activity
col248  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusPosterior1.Activity
col249  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusPosterior2.Activity
col250  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusPosterior3.Activity
col251  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusPosterior4.Activity
col252  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusPosterior5.Activity
col253  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMediusPosterior6.Activity
col254  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusSuperior1.Activity
col255  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusSuperior2.Activity
col256  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusSuperior3.Activity
col257  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusSuperior4.Activity
col258  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusSuperior5.Activity
col259  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusSuperior6.Activity
col260  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusInferior1.Activity
col261  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusInferior2.Activity
col262  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusInferior3.Activity
col263  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusInferior4.Activity
col264  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusInferior5.Activity
col265  Main.HumanModel.BodyModel.Left.Leg.Mus.GluteusMaximusInferior6.Activity
col266  Main.HumanModel.BodyModel.Left.Leg.Mus.TensorFasciaeLatae1.Activity
col267  Main.HumanModel.BodyModel.Left.Leg.Mus.TensorFasciaeLatae2.Activity
