Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 7.500000000000000e+000,-2.208808850103693e-001,-3.337239842723996e-001,-3.490609429154721e-001
 7.510000000000000e+000,-2.208841123896499e-001,-3.338324125931096e-001,-3.490609633959157e-001
 7.520000000000000e+000,-2.209273574265961e-001,-3.339644474419727e-001,-3.490609871033224e-001
 7.529999999999999e+000,-2.210174484632652e-001,-3.341216271786616e-001,-3.490610137734173e-001
 7.540000000000000e+000,-2.211573116109709e-001,-3.343041279915489e-001,-3.490610428115832e-001
 7.550000000000000e+000,-2.213446179076061e-001,-3.345111672834804e-001,-3.490610732706165e-001
 7.560000000000000e+000,-2.215729659168042e-001,-3.347395035496887e-001,-3.490611038167079e-001
 7.569999999999999e+000,-2.218386288315723e-001,-3.349807774816296e-001,-3.490611327840216e-001
 7.580000000000000e+000,-2.221476564585613e-001,-3.352203708040058e-001,-3.490611582566660e-001
 7.590000000000000e+000,-2.225159675194410e-001,-3.354375707566575e-001,-3.490611780165186e-001
 7.600000000000000e+000,-2.229645082382607e-001,-3.356053804010402e-001,-3.490611894165191e-001
 7.609999999999999e+000,-2.235141225358572e-001,-3.356903034996996e-001,-3.490611893381111e-001
 7.619999999999999e+000,-2.241807053612675e-001,-3.356538616657647e-001,-3.490611742996926e-001
 7.629999999999999e+000,-2.249726899223901e-001,-3.354561148307205e-001,-3.490611407129610e-001
 7.640000000000000e+000,-2.258922323279855e-001,-3.350600841425420e-001,-3.490610852451273e-001
 7.650000000000000e+000,-2.269356362164288e-001,-3.344372135000635e-001,-3.490610053101608e-001
 7.660000000000000e+000,-2.280895150259922e-001,-3.335747295798925e-001,-3.490608998081330e-001
 7.670000000000000e+000,-2.293240190670383e-001,-3.324857407351152e-001,-3.490607702213907e-001
 7.680000000000000e+000,-2.305849374201106e-001,-3.312210800990632e-001,-3.490606219126236e-001
 7.690000000000000e+000,-2.317930087125385e-001,-3.298721207837541e-001,-3.490604645281008e-001
 7.699999999999999e+000,-2.328638521122846e-001,-3.285505577331336e-001,-3.490603099793083e-001
 7.709999999999999e+000,-2.337408404775674e-001,-3.273546766078419e-001,-3.490601687715091e-001
 7.720000000000000e+000,-2.344132749239161e-001,-3.263492059152515e-001,-3.490600476137936e-001
 7.730000000000000e+000,-2.349079707124229e-001,-3.255657709081161e-001,-3.490599493877209e-001
 7.740000000000000e+000,-2.352674295649548e-001,-3.250113310267133e-001,-3.490598741551594e-001
 7.750000000000000e+000,-2.355325296114953e-001,-3.246769444805757e-001,-3.490598201768654e-001
 7.760000000000000e+000,-2.357367915958691e-001,-3.245454882685119e-001,-3.490597847491259e-001
 7.770000000000000e+000,-2.359084549576727e-001,-3.245971661094074e-001,-3.490597648324368e-001
 7.779999999999999e+000,-2.360737263652318e-001,-3.248122763463570e-001,-3.490597574561791e-001
 7.789999999999999e+000,-2.362573032873047e-001,-3.251720113428231e-001,-3.490597599229786e-001
 7.800000000000000e+000,-2.364804716495676e-001,-3.256585908350209e-001,-3.490597698996059e-001
 7.810000000000000e+000,-2.367592118981539e-001,-3.262550747401236e-001,-3.490597854406815e-001
 7.820000000000000e+000,-2.371030324967029e-001,-3.269446624649508e-001,-3.490598049362348e-001
 7.830000000000000e+000,-2.375131885729915e-001,-3.277091767108165e-001,-3.490598270127366e-001
 7.840000000000000e+000,-2.379806491209451e-001,-3.285270806978802e-001,-3.490598504454761e-001
 7.850000000000000e+000,-2.384866000503131e-001,-3.293736723218741e-001,-3.490598741428774e-001
 7.859999999999999e+000,-2.390068002931084e-001,-3.302244012520386e-001,-3.490598971957869e-001
 7.869999999999999e+000,-2.395171656242663e-001,-3.310581611727981e-001,-3.490599189271957e-001
 7.880000000000000e+000,-2.399975202153925e-001,-3.318589070998845e-001,-3.490599389801588e-001
 7.890000000000000e+000,-2.404333067193362e-001,-3.326164471854791e-001,-3.490599574669964e-001
 7.900000000000000e+000,-2.408153367647591e-001,-3.333260213720797e-001,-3.490599749917159e-001
 7.910000000000000e+000,-2.411378158593045e-001,-3.339869502413955e-001,-3.490599924224745e-001
 7.920000000000000e+000,-2.413967466975460e-001,-3.346025735079468e-001,-3.490600106168899e-001
 7.930000000000000e+000,-2.415898787136988e-001,-3.351810556172752e-001,-3.490600302997923e-001
 7.940000000000000e+000,-2.417173086691491e-001,-3.357341105372420e-001,-3.490600520247522e-001
 7.949999999999999e+000,-2.417815066365351e-001,-3.362733095360224e-001,-3.490600761316117e-001
 7.959999999999999e+000,-2.417856136297785e-001,-3.368066386355668e-001,-3.490601027203319e-001
 7.969999999999999e+000,-2.417309819680115e-001,-3.373375491230179e-001,-3.490601316493844e-001
 7.980000000000000e+000,-2.416173644650334e-001,-3.378658868410196e-001,-3.490601625621397e-001
 7.989999999999999e+000,-2.414457312305361e-001,-3.383884414385658e-001,-3.490601949612572e-001
 8.000000000000000e+000,-2.412194971936187e-001,-3.388989721920708e-001,-3.490602282956730e-001
 8.010000000000000e+000,-2.409435065701362e-001,-3.393899385577068e-001,-3.490602620179515e-001
 8.020000000000000e+000,-2.406250946362604e-001,-3.398562740410909e-001,-3.490602956580796e-001
 8.029999999999999e+000,-2.402784539537276e-001,-3.402977510314065e-001,-3.490603288961499e-001
 8.039999999999999e+000,-2.399278018723204e-001,-3.407176490889385e-001,-3.490603615199363e-001
 8.049999999999999e+000,-2.396064668717902e-001,-3.411198002414686e-001,-3.490603932798688e-001
 8.059999999999999e+000,-2.393530074511543e-001,-3.415062664916677e-001,-3.490604237709324e-001
 8.070000000000000e+000,-2.392042856679454e-001,-3.418763494782946e-001,-3.490604524652625e-001
 8.080000000000000e+000,-2.391866874603533e-001,-3.422275808645940e-001,-3.490604789374036e-001
 8.090000000000000e+000,-2.393116684903342e-001,-3.425588408275742e-001,-3.490605031542136e-001
 8.100000000000000e+000,-2.395784543478997e-001,-3.428746451818490e-001,-3.490605256449114e-001
 8.109999999999999e+000,-2.399790128373766e-001,-3.431875149737227e-001,-3.490605474689605e-001
 8.119999999999999e+000,-2.405008070452688e-001,-3.435151232007443e-001,-3.490605699996883e-001
 8.129999999999999e+000,-2.411284966073733e-001,-3.438739834889859e-001,-3.490605946912442e-001
 8.140000000000001e+000,-2.418471672086616e-001,-3.442754740787128e-001,-3.490606229703372e-001
 8.149999999999999e+000,-2.426442411757314e-001,-3.447266319839613e-001,-3.490606560625327e-001
 8.160000000000000e+000,-2.435041189167378e-001,-3.452323700216655e-001,-3.490606945943114e-001
 8.170000000000000e+000,-2.443965061781762e-001,-3.457951369873618e-001,-3.490607382191658e-001
 8.180000000000000e+000,-2.452702674252880e-001,-3.464128720048474e-001,-3.490607856546764e-001
 8.190000000000000e+000,-2.460640170300395e-001,-3.470789564674313e-001,-3.490608352588458e-001
 8.199999999999999e+000,-2.467254051784295e-001,-3.477844570794950e-001,-3.490608856831557e-001
 8.209999999999999e+000,-2.472211095084211e-001,-3.485203468712201e-001,-3.490609360018205e-001
 8.219999999999999e+000,-2.475366042346763e-001,-3.492785451607565e-001,-3.490609854761179e-001
 8.230000000000000e+000,-2.476758138873594e-001,-3.500512371600921e-001,-3.490610334715652e-001
 8.239999999999998e+000,-2.476615096348074e-001,-3.508281533544859e-001,-3.490610795387796e-001
 8.250000000000000e+000,-2.475301979062468e-001,-3.515934056881345e-001,-3.490611234077773e-001
 8.260000000000000e+000,-2.473196010397686e-001,-3.523257083821265e-001,-3.490611648981794e-001
 8.270000000000000e+000,-2.470569541498955e-001,-3.530031838355148e-001,-3.490612038793647e-001
 8.279999999999999e+000,-2.467586603517411e-001,-3.536091299870816e-001,-3.490612402953041e-001
 8.289999999999999e+000,-2.464390958335772e-001,-3.541356448767923e-001,-3.490612742137863e-001
 8.299999999999999e+000,-2.461162428541285e-001,-3.545844530927453e-001,-3.490613058580882e-001
 8.309999999999999e+000,-2.458086248291409e-001,-3.549650904831034e-001,-3.490613355222187e-001
 8.320000000000000e+000,-2.455290599438088e-001,-3.552919919545730e-001,-3.490613633771562e-001
 8.330000000000000e+000,-2.452820256627381e-001,-3.555827178476465e-001,-3.490613893526358e-001
 8.340000000000000e+000,-2.450655908048566e-001,-3.558579244923659e-001,-3.490614131731480e-001
 8.350000000000000e+000,-2.448817382012998e-001,-3.561456898654547e-001,-3.490614392869157e-001
 8.359999999999999e+000,-2.447031910524227e-001,-3.564575365278127e-001,-3.490614569843241e-001
 8.369999999999999e+000,-2.472111579938208e-001,-3.481550404920073e-001,-3.490617917116748e-001
 8.379999999999999e+000,-2.507645008403205e-001,-3.373089934236910e-001,-3.490622934340928e-001
