Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularAxialRotation
 6.670000000000000e+000,-3.476925651076040e-001, 3.312843698828472e-001,-3.482427508584462e-001
 6.680000000000000e+000,-3.478113495698086e-001, 3.313734058446893e-001,-3.482388716765322e-001
 6.690000000000000e+000,-3.479459924521838e-001, 3.314523896911834e-001,-3.482355964570705e-001
 6.699999999999999e+000,-3.480957034158515e-001, 3.315217403232684e-001,-3.482328991457343e-001
 6.710000000000000e+000,-3.482591439485704e-001, 3.315820798042080e-001,-3.482307401649706e-001
 6.720000000000000e+000,-3.484342028533549e-001, 3.316342757861182e-001,-3.482290628812958e-001
 6.730000000000000e+000,-3.486179852213458e-001, 3.316795137306996e-001,-3.482277898401250e-001
 6.740000000000000e+000,-3.488069745211286e-001, 3.317192766398358e-001,-3.482268247171724e-001
 6.750000000000000e+000,-3.489972505126470e-001, 3.317552427689106e-001,-3.482260588152019e-001
 6.760000000000000e+000,-3.491849025894334e-001, 3.317891294856681e-001,-3.482253815236803e-001
 6.770000000000000e+000,-3.493665694167772e-001, 3.318224801326546e-001,-3.482246943943151e-001
 6.779999999999999e+000,-3.495397332663950e-001, 3.318564710592347e-001,-3.482239226632938e-001
 6.790000000000000e+000,-3.497026761935330e-001, 3.318918357626481e-001,-3.482230188042753e-001
 6.800000000000000e+000,-3.498543099548344e-001, 3.319289152556946e-001,-3.482219589476803e-001
 6.810000000000000e+000,-3.499940217208233e-001, 3.319677603536988e-001,-3.482207367684434e-001
 6.820000000000000e+000,-3.501215472269708e-001, 3.320081958036116e-001,-3.482193594617606e-001
 6.830000000000000e+000,-3.502368441467178e-001, 3.320498431606542e-001,-3.482178458032501e-001
 6.840000000000000e+000,-3.503399585876463e-001, 3.320921787056330e-001,-3.482162223962385e-001
 6.850000000000000e+000,-3.504309158313524e-001, 3.321346623770325e-001,-3.482145164716756e-001
 6.859999999999999e+000,-3.505096659554873e-001, 3.321769120311866e-001,-3.482127467259452e-001
 6.870000000000000e+000,-3.505760774605930e-001, 3.322188654628109e-001,-3.482109150958190e-001
 6.880000000000000e+000,-3.506299932526436e-001, 3.322608078867568e-001,-3.482090057800854e-001
 6.890000000000000e+000,-3.506714012927582e-001, 3.323031626266904e-001,-3.482069969929189e-001
 6.900000000000000e+000,-3.507006400788754e-001, 3.323461648854820e-001,-3.482048788747916e-001
 6.910000000000000e+000,-3.507184659485632e-001, 3.323896689162467e-001,-3.482026638239902e-001
 6.920000000000000e+000,-3.507259818540316e-001, 3.324331435269972e-001,-3.482003864253653e-001
 6.930000000000000e+000,-3.507245467542354e-001, 3.324757474099738e-001,-3.481980991416418e-001
 6.940000000000000e+000,-3.507157031090133e-001, 3.325164955503936e-001,-3.481958633154731e-001
 6.950000000000000e+000,-3.507010819500025e-001, 3.325545640779419e-001,-3.481937327305946e-001
 6.960000000000000e+000,-3.506822510729384e-001, 3.325895385375439e-001,-3.481917396193430e-001
 6.970000000000000e+000,-3.506605634282478e-001, 3.326213867582264e-001,-3.481898949174528e-001
 6.980000000000000e+000,-3.506371072292474e-001, 3.326502592979608e-001,-3.481881981528542e-001
 6.990000000000000e+000,-3.506127509209334e-001, 3.326763148374412e-001,-3.481866466938326e-001
 7.000000000000000e+000,-3.505882028870159e-001, 3.326996188933507e-001,-3.481852413472331e-001
 7.010000000000000e+000,-3.505640345942758e-001, 3.327201378538200e-001,-3.481839869027316e-001
 7.020000000000000e+000,-3.505406492602117e-001, 3.327378292609085e-001,-3.481828874639960e-001
 7.029999999999999e+000,-3.505182565603770e-001, 3.327526958612812e-001,-3.481819436335372e-001
 7.040000000000000e+000,-3.504969431744311e-001, 3.327646877703656e-001,-3.481811579500710e-001
 7.050000000000000e+000,-3.504768015245486e-001, 3.327735447095575e-001,-3.481805436859949e-001
 7.060000000000000e+000,-3.504580184088794e-001, 3.327787329616170e-001,-3.481801285780201e-001
 7.070000000000000e+000,-3.504408950272902e-001, 3.327795107138414e-001,-3.481799516308395e-001
 7.080000000000000e+000,-3.504257889594176e-001, 3.327750749574610e-001,-3.481800553254072e-001
 7.090000000000000e+000,-3.504129986913009e-001, 3.327647280201096e-001,-3.481804764953661e-001
 7.100000000000000e+000,-3.504026840524576e-001, 3.327480071774818e-001,-3.481812392930364e-001
 7.109999999999999e+000,-3.503948642831802e-001, 3.327247463218026e-001,-3.481823520513553e-001
 7.119999999999999e+000,-3.503894289025924e-001, 3.326950768435335e-001,-3.481838072813867e-001
 7.130000000000000e+000,-3.503861285287414e-001, 3.326594191771477e-001,-3.481855820317495e-001
 7.140000000000000e+000,-3.503845997587037e-001, 3.326184942643802e-001,-3.481876374640345e-001
 7.150000000000000e+000,-3.503844442502516e-001, 3.325732916504218e-001,-3.481899209280921e-001
 7.160000000000000e+000,-3.503853021519054e-001, 3.325249324038990e-001,-3.481923733065059e-001
 7.170000000000000e+000,-3.503868741644852e-001, 3.324744890793470e-001,-3.481949382488200e-001
 7.180000000000000e+000,-3.503888978487690e-001, 3.324228867505994e-001,-3.481975670458838e-001
 7.190000000000000e+000,-3.503911178173254e-001, 3.323709203985807e-001,-3.482002175641317e-001
 7.199999999999999e+000,-3.503932983151094e-001, 3.323193173928867e-001,-3.482028511469859e-001
 7.210000000000000e+000,-3.503952700950045e-001, 3.322687750729567e-001,-3.482054310040535e-001
 7.220000000000000e+000,-3.503969633698095e-001, 3.322199536352357e-001,-3.482079228032208e-001
 7.230000000000000e+000,-3.503984132988973e-001, 3.321734368693243e-001,-3.482102967259016e-001
 7.239999999999999e+000,-3.503997471998519e-001, 3.321296981779471e-001,-3.482125291236063e-001
 7.250000000000000e+000,-3.504011540154161e-001, 3.320890975144861e-001,-3.482146024940535e-001
 7.260000000000000e+000,-3.504028375857852e-001, 3.320518950126055e-001,-3.482165045283230e-001
 7.270000000000000e+000,-3.504049661630540e-001, 3.320182640917562e-001,-3.482182271665710e-001
 7.279999999999999e+000,-3.504076390846360e-001, 3.319883049944408e-001,-3.482197657271690e-001
 7.290000000000000e+000,-3.504108825763299e-001, 3.319620658125231e-001,-3.482211178278796e-001
 7.300000000000000e+000,-3.504146640389816e-001, 3.319395743812899e-001,-3.482222818578655e-001
 7.310000000000000e+000,-3.504189089345048e-001, 3.319208662107305e-001,-3.482232556470267e-001
 7.319999999999999e+000,-3.504235214236898e-001, 3.319059927169092e-001,-3.482240361486854e-001
 7.330000000000000e+000,-3.504284144158703e-001, 3.318950126601790e-001,-3.482246200368916e-001
 7.340000000000000e+000,-3.504335354028819e-001, 3.318879640879568e-001,-3.482250052761956e-001
 7.350000000000000e+000,-3.504388693373983e-001, 3.318848100381699e-001,-3.482251938952060e-001
 7.359999999999999e+000,-3.504444216585749e-001, 3.318853874827141e-001,-3.482251944842140e-001
 7.369999999999999e+000,-3.504502027930846e-001, 3.318894033121957e-001,-3.482250223067999e-001
 7.380000000000000e+000,-3.504570555939173e-001, 3.318968088126579e-001,-3.482249121202998e-001
 7.390000000000000e+000,-3.504633715022276e-001, 3.319064782278185e-001,-3.482244226313587e-001
 7.400000000000000e+000,-3.504693237883110e-001, 3.319177871624948e-001,-3.482236927958614e-001
 7.410000000000000e+000,-3.504765797154059e-001, 3.319311251301742e-001,-3.482230609181772e-001
 7.420000000000000e+000,-3.504844441299657e-001, 3.319458576724796e-001,-3.482223635706098e-001
 7.430000000000000e+000,-3.504929851502368e-001, 3.319619683893720e-001,-3.482216021348407e-001
 7.440000000000000e+000,-3.505022356077278e-001, 3.319796652582234e-001,-3.482207663281657e-001
 7.449999999999999e+000,-3.505122078289004e-001, 3.319993264822978e-001,-3.482198370689147e-001
 7.460000000000000e+000,-3.505229214897427e-001, 3.320214170115055e-001,-3.482187908977386e-001
 7.470000000000000e+000,-3.505344228421450e-001, 3.320464147236737e-001,-3.482176038696804e-001
 7.480000000000000e+000,-3.505467716058753e-001, 3.320747634145607e-001,-3.482162538990712e-001
 7.490000000000000e+000,-3.505600152654110e-001, 3.321068181195632e-001,-3.482147233909657e-001
 7.500000000000000e+000,-3.505741979106398e-001, 3.321427695927177e-001,-3.482130030845944e-001
 7.510000000000000e+000,-3.505893990017008e-001, 3.321825751836298e-001,-3.482110957353943e-001
