---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.FileName = "GaitNormal0003-processed-output-euler-rightarm.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.GlenohumeralAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.ElbowPronation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile7.WristAbduction
1.966173469387754e+000 1.161879569672717e-001 -4.572557175224382e-001 3.291826375667477e-001 9.093033905311128e-001 6.331735695738811e-001 4.233539201569307e-001 7.477523072118712e-002
1.975510204081631e+000 1.272815702584531e-001 -4.598944547256829e-001 3.292134872042114e-001 9.174578853731420e-001 6.345766941436610e-001 4.228779267669027e-001 7.524976512065147e-002
1.984846938775509e+000 1.374785456216483e-001 -4.626510834682525e-001 3.295423630485116e-001 9.255564585939272e-001 6.359829219142629e-001 4.222587377143081e-001 7.574789425447182e-002
1.994183673469386e+000 1.466922942077364e-001 -4.655150327769826e-001 3.301567719051079e-001 9.336229509386479e-001 6.373822458286100e-001 4.215176066719260e-001 7.627855558437756e-002
2.003520408163264e+000 1.548527940020654e-001 -4.684675227642515e-001 3.310227413299851e-001 9.416566663825410e-001 6.387759578719057e-001 4.206836858724343e-001 7.684906514251463e-002
2.012857142857142e+000 1.619150135789316e-001 -4.714824853766242e-001 3.320775211687622e-001 9.496254498593152e-001 6.401750948652405e-001 4.197916030163249e-001 7.746537489924661e-002
2.022193877551019e+000 1.678609119409322e-001 -4.745283203479589e-001 3.332286340226911e-001 9.574646780238116e-001 6.415956070838621e-001 4.188791796045630e-001 7.813248569010887e-002
2.031530612244897e+000 1.726939789653323e-001 -4.775696814244476e-001 3.343608425744004e-001 9.650814838579355e-001 6.430518868442898e-001 4.179822438039127e-001 7.885409823332326e-002
2.040867346938774e+000 1.764278660663388e-001 -4.805694546613831e-001 3.353487884878227e-001 9.723624846348079e-001 6.445525411472513e-001 4.171278293008163e-001 7.963265069046410e-002
2.050204081632652e+000 1.790734458261021e-001 -4.834906780109787e-001 3.360708471803282e-001 9.791823834595572e-001 6.461010823506307e-001 4.163302820394512e-001 8.047087965707067e-002
2.059540816326529e+000 1.806289811952835e-001 -4.862983652226524e-001 3.364205144842361e-001 9.854117938373199e-001 6.476998240019761e-001 4.155927386973464e-001 8.137285728661821e-002
2.068877551020407e+000 1.810759254890209e-001 -4.889620639929919e-001 3.363147423932716e-001 9.909242378551026e-001 6.493522965125275e-001 4.149140094357948e-001 8.234169912888928e-002
2.078214285714284e+000 1.803804460134346e-001 -4.914585242850943e-001 3.356998153354505e-001 9.956018624745802e-001 6.510623028566915e-001 4.142986047029891e-001 8.337492388174328e-002
2.087551020408162e+000 1.784990635910351e-001 -4.937726942649651e-001 3.345536354202587e-001 9.993388410824502e-001 6.528307581320566e-001 4.137650446958354e-001 8.446134262217400e-002
2.096887755102039e+000 1.753866440061365e-001 -4.958964982041054e-001 3.328830222095400e-001 1.002042546426623e+000 6.546506118526425e-001 4.133478261956296e-001 8.558150981530610e-002
2.106224489795917e+000 1.710058864146491e-001 -4.978255918137195e-001 3.307168294731464e-001 1.003633399124015e+000 6.565017932726004e-001 4.130928068857964e-001 8.671001541406163e-002
2.115561224489794e+000 1.653373554945932e-001 -4.995553972397972e-001 3.280974773109825e-001 1.004044038276764e+000 6.583503361458758e-001 4.130501169941829e-001 8.781757486684121e-002
2.124897959183672e+000 1.583880605249894e-001 -5.010793766566256e-001 3.250739265660409e-001 1.003218530682829e+000 6.601517856559912e-001 4.132671822426319e-001 8.887321427462941e-002
2.134234693877549e+000 1.501964723094997e-001 -5.023916834248083e-001 3.216987162461426e-001 1.001112879694834e+000 6.618538131296539e-001 4.137802447830916e-001 8.984745136541607e-002
2.143571428571427e+000 1.408332042422840e-001 -5.034931947829974e-001 3.180296428784394e-001 9.976981835230780e-001 6.633956180362804e-001 4.146033654027341e-001 9.071596218459781e-002
