---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.FileName = "RTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
 3.996066878980897e+000   3.141641267634202e-001  -4.057995152188277e-001   1.111293248434826e-001
 4.008752229299368e+000   3.245796076710700e-001  -4.020109717997907e-001   1.044910647507423e-001
 4.021437579617840e+000   3.330498078090174e-001  -3.983900037095323e-001   9.670697575723621e-002
 4.034122929936311e+000   3.399802882959959e-001  -3.951144470548743e-001   8.839558437055267e-002
 4.046808280254783e+000   3.456352949827299e-001  -3.923108692654959e-001   8.015718764426993e-002
 4.059493630573254e+000   3.501756809993906e-001  -3.900356792168942e-001   7.249610941287835e-002
 4.072178980891725e+000   3.537370636270280e-001  -3.882751965182124e-001   6.578280635695140e-002
 4.084864331210197e+000   3.564603372475683e-001  -3.869641047805938e-001   6.023530760033592e-002
 4.097549681528668e+000   3.584830443447295e-001  -3.860180548234872e-001   5.591439666491800e-002
 4.110235031847140e+000   3.599331188195072e-001  -3.853603110739819e-001   5.274567103097477e-002
 4.122920382165611e+000   3.609306558455573e-001  -3.849283455044599e-001   5.056749023474666e-002
 4.135605732484082e+000   3.615862416798690e-001  -3.846698690684737e-001   4.918075100176812e-002
 4.148291082802554e+000   3.619965766733229e-001  -3.845424156234972e-001   4.838510561988376e-002
 4.160976433121025e+000   3.622415225561738e-001  -3.845142203405386e-001   4.799972926363726e-002
 4.173661783439497e+000   3.623836133914903e-001  -3.845637558333354e-001   4.787364288245568e-002
 4.186347133757968e+000   3.624693859163422e-001  -3.846778633278640e-001   4.788994347305606e-002
 4.199032484076439e+000   3.625309462026033e-001  -3.848479269849179e-001   4.796580105985519e-002
 4.211717834394911e+000   3.625888946845174e-001  -3.850662946984808e-001   4.804826520017728e-002
 4.224403184713382e+000   3.626553219822578e-001  -3.853241896528546e-001   4.810928343871535e-002
 4.237088535031854e+000   3.627347385562700e-001  -3.856111540802424e-001   4.813983757551571e-002
 4.249773885350325e+000   3.628250019371813e-001  -3.859161776495436e-001   4.814335737301884e-002
 4.262459235668796e+000   3.629206677791083e-001  -3.862289204763143e-001   4.812876789464279e-002
 4.275144585987268e+000   3.630164890994386e-001  -3.865395898919209e-001   4.810376526451440e-002
 4.287829936305739e+000   3.631087369366072e-001  -3.868374963461053e-001   4.806953247448708e-002
 4.300515286624211e+000   3.631942820624439e-001  -3.871091435833184e-001   4.801878282487707e-002
 4.313200636942682e+000   3.632684910066824e-001  -3.873397681165551e-001   4.793983732025142e-002
 4.325885987261153e+000   3.633258141147582e-001  -3.875206165529293e-001   4.782799281217656e-002
 4.338571337579625e+000   3.633641294191242e-001  -3.876522202934823e-001   4.769253973686952e-002
 4.351256687898096e+000   3.633858822148643e-001  -3.877385301923029e-001   4.754840950709888e-002
 4.363942038216568e+000   3.633965362031683e-001  -3.877834063488199e-001   4.740887248909209e-002
 4.376627388535039e+000   3.634035211401157e-001  -3.877919638494432e-001   4.728666588475945e-002
 4.389312738853510e+000   3.634124053004799e-001  -3.877697912495901e-001   4.719015424365620e-002
 4.401998089171982e+000   3.634238248703487e-001  -3.877221003546602e-001   4.711879086754420e-002
 4.414683439490453e+000   3.634360443280354e-001  -3.876557060951405e-001   4.706725574514402e-002
 4.427368789808925e+000   3.634488082415626e-001  -3.875801943616624e-001   4.703059534665623e-002
 4.440054140127396e+000   3.634652183274100e-001  -3.875082223600394e-001   4.700645510751717e-002
 4.452739490445867e+000   3.634913280275189e-001  -3.874554454531555e-001   4.699513998731135e-002
 4.465424840764339e+000   3.635346278805937e-001  -3.874365404658809e-001   4.699634047383170e-002
 4.478110191082810e+000   3.636033440597047e-001  -3.874610607803178e-001   4.700618269796222e-002
 4.490795541401282e+000   3.637063908941280e-001  -3.875340985833308e-001   4.701792496927021e-002
 4.503480891719753e+000   3.638519437313803e-001  -3.876582994510317e-001   4.702315924028012e-002
 4.516166242038224e+000   3.640450699427936e-001  -3.878345542110867e-001   4.701137768585852e-002
 4.528851592356696e+000   3.642861864725725e-001  -3.880614203041751e-001   4.696965687379790e-002
 4.541536942675167e+000   3.645711645859810e-001  -3.883334409708819e-001   4.688467338859444e-002
 4.554222292993639e+000   3.648932780678466e-001  -3.886394506882491e-001   4.674553758716762e-002
 4.566907643312110e+000   3.652461927449596e-001  -3.889623326330188e-001   4.654505052579264e-002
 4.579592993630581e+000   3.656282159922161e-001  -3.892805250384754e-001   4.628040096891019e-002
 4.592278343949053e+000   3.660484984715561e-001  -3.895702848279820e-001   4.595632459035592e-002
 4.604963694267524e+000   3.665355132837407e-001  -3.898098474540708e-001   4.559160519383704e-002
 4.617649044585996e+000   3.671479036586420e-001  -3.899857956475525e-001   4.522715180906947e-002
 4.630334394904467e+000   3.679865445741102e-001  -3.901015757136926e-001   4.493207220880278e-002
 4.643019745222938e+000   3.692105070901414e-001  -3.901884933918695e-001   4.480896421235240e-002
 4.655705095541410e+000   3.710567448832512e-001  -3.903137841293140e-001   4.499924478431322e-002
 4.668390445859881e+000   3.738622859020745e-001  -3.905814798289507e-001   4.568501055938955e-002
 4.681075796178353e+000   3.780833110933027e-001  -3.911243515126102e-001   4.707776558026845e-002
 4.693761146496824e+000   3.842990385258336e-001  -3.920891313016198e-001   4.938476015268188e-002
 4.706446496815295e+000   3.931833708514620e-001  -3.936225323150693e-001   5.275299546591209e-002
