Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxRotation
 2.933568000000000e+000, 2.429047969006185e+000, 1.034914558456959e+000,-3.607200824282223e+000,-1.173814759020383e-002, 1.212910066992492e+000,-3.573157167689225e-002,-4.874917874800226e-002,-4.555796296988032e-002, 4.399680972343287e-001,-2.539599554447563e-001, 1.445460432282544e-001,-2.653083714173400e-001
 2.937735000000000e+000, 2.427999663917428e+000, 1.034747866995454e+000,-3.614146863304230e+000,-1.128570124501729e-002, 1.215550770021894e+000,-3.714796735280890e-002,-4.863051028969184e-002,-4.816524387334502e-002, 4.375229672506752e-001,-2.543786364859571e-001, 1.455552133295402e-001,-2.669591790617631e-001
 2.941902000000000e+000, 2.426947005019447e+000, 1.034640059172106e+000,-3.621063162320534e+000,-1.078623499495140e-002, 1.218317266468052e+000,-3.847171778108673e-002,-4.856342318537320e-002,-5.064474919250764e-002, 4.349118895748662e-001,-2.546580433704687e-001, 1.466282559645491e-001,-2.686234585808348e-001
 2.946069000000000e+000, 2.425895153280128e+000, 1.034593870728096e+000,-3.627946319894097e+000,-1.023608257577394e-002, 1.221175627537499e+000,-3.968522345455355e-002,-4.855291533121959e-002,-5.298105991676895e-002, 4.321671656660758e-001,-2.547954927574300e-001, 1.477643350582862e-001,-2.703036442226840e-001
 2.950236000000000e+000, 2.424848882374437e+000, 1.034611769769638e+000,-3.634793505165290e+000,-9.632881560846341e-003, 1.224096232896044e+000,-4.077239127871241e-002,-4.860257857795418e-002,-5.515954862142764e-002, 4.293166942492961e-001,-2.547880754166575e-001, 1.489609237282576e-001,-2.720017731408723e-001
 2.954403000000000e+000, 2.423812424802241e+000, 1.034695926435015e+000,-3.641602472826211e+000,-8.975686937006172e-003, 1.227054607496652e+000,-4.171945739395550e-002,-4.871464257920834e-002,-5.716703310097186e-002, 4.263831068876560e-001,-2.546329435784686e-001, 1.502140400325236e-001,-2.737194865676259e-001
 2.958570000000000e+000, 2.422789359938191e+000, 1.034848181566911e+000,-3.648371548029332e+000,-8.264896193088872e-003, 1.230031911586530e+000,-4.251555132572042e-002,-4.888998215205437e-002,-5.899244137573242e-002, 4.233832776391085e-001,-2.543273496781258e-001, 1.515182130895049e-001,-2.754579944228218e-001
 2.962737000000000e+000, 2.421782545343580e+000, 1.035070014859926e+000,-3.655099587454782e+000,-7.502091705190103e-003, 1.233015032621834e+000,-4.315303054616067e-002,-4.912819023912648e-002,-6.062730177881276e-002, 4.203282504874090e-001,-2.538687063366114e-001, 1.528665249567168e-001,-2.772180468432935e-001
 2.966904000000000e+000, 2.420794095109855e+000, 1.035362514753782e+000,-3.661785920574347e+000,-6.689837507209256e-003, 1.235996328370773e+000,-4.362758127606693e-002,-4.942769936643127e-002,-6.206601508915656e-002, 4.172235358187832e-001,-2.532546628957707e-001, 1.542507249217680e-001,-2.789999117145647e-001
 2.971071000000000e+000, 2.419825405853729e+000, 1.035726352465602e+000,-3.668430274979547e+000,-5.831472430838189e-003, 1.238973090903923e+000,-4.393810266290737e-002,-4.978593326632794e-002,-6.330588260759699e-002, 4.140697053997233e-001,-2.524831938223093e-001, 1.556614114128881e-001,-2.808033569889099e-001
 2.975238000000000e+000, 2.418877223008664e+000, 1.036161761819178e+000,-3.675032691121320e+000,-4.930922042854800e-003, 1.241946814421940e+000,-4.408641833941510e-002,-5.019947648560203e-002,-6.434691778044188e-002, 4.108631983126821e-001,-2.515526973083465e-001, 1.570882684288020e-001,-2.826276375412219e-001
