---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.FileName = "LFTM1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LFTM1.MarkerPositionFile.pz
 1.098379888268157e+000   5.258418664156080e-001  -1.516396905613547e-001   4.542158559481204e-002
 1.100558659217878e+000   5.254564582364419e-001  -1.520276834708286e-001   4.541312817187861e-002
 1.102737430167599e+000   5.251518444243667e-001  -1.523702941438099e-001   4.555010385298030e-002
 1.104916201117319e+000   5.249433942422446e-001  -1.526611772522864e-001   4.581208504044998e-002
 1.107094972067040e+000   5.248459243651696e-001  -1.528953020942211e-001   4.618119181098030e-002
 1.109273743016761e+000   5.248738946541539e-001  -1.530688637678400e-001   4.664191727931052e-002
 1.111452513966482e+000   5.250415372371066e-001  -1.531794494128997e-001   4.718146901275992e-002
 1.113631284916202e+000   5.253630342382284e-001  -1.532259771989554e-001   4.778970986874703e-002
 1.115810055865923e+000   5.258526076517978e-001  -1.532085813055339e-001   4.845898348786457e-002
 1.117988826815644e+000   5.265246392745384e-001  -1.531287338562274e-001   4.918445620624202e-002
 1.120167597765365e+000   5.273938236688904e-001  -1.529890890715298e-001   4.996398669718356e-002
 1.122346368715085e+000   5.284752636608265e-001  -1.527933675849572e-001   5.079802538005034e-002
 1.124525139664806e+000   5.297847036201684e-001  -1.525463937102383e-001   5.169000125096156e-002
 1.126703910614527e+000   5.313386413405631e-001  -1.522538777331860e-001   5.264609574978622e-002
 1.128882681564247e+000   5.331544007533099e-001  -1.519223147447548e-001   5.367518096732143e-002
 1.131061452513968e+000   5.352503661242655e-001  -1.515589392699789e-001   5.478912742119787e-002
 1.133240223463689e+000   5.376459600678413e-001  -1.511715211742061e-001   5.600242605743835e-002
 1.135418994413410e+000   5.403616890520120e-001  -1.507682905191516e-001   5.733213185584943e-002
 1.137597765363130e+000   5.434192920323513e-001  -1.503578608754248e-001   5.879795762579085e-002
 1.139776536312851e+000   5.468415699578265e-001  -1.499491006114085e-001   6.042171886524964e-002
 1.141955307262572e+000   5.506523775984239e-001  -1.495510853124906e-001   6.222718070353746e-002
 1.144134078212293e+000   5.548765710140745e-001  -1.491730288996944e-001   6.423971191635394e-002
 1.146312849162013e+000   5.595396947419528e-001  -1.488242063299500e-001   6.648559200709917e-002
 1.148491620111734e+000   5.646678261449243e-001  -1.485139065646533e-001   6.899163081965062e-002
 1.150670391061455e+000   5.702871399776838e-001  -1.482513435932651e-001   7.178439941869809e-002
 1.152849162011176e+000   5.764234346142242e-001  -1.480455895650377e-001   7.488969751345243e-002
 1.155027932960896e+000   5.831016297941644e-001  -1.479054880538158e-001   7.833198335103053e-002
 1.157206703910617e+000   5.903448916662563e-001  -1.478395182016422e-001   8.213367042400946e-002
 1.159385474860338e+000   5.981741825022938e-001  -1.478557339602367e-001   8.631499252527343e-002
 1.161564245810059e+000   6.066073277812693e-001  -1.479616076056587e-001   9.089343228942368e-002
 1.163743016759779e+000   6.156580349913418e-001  -1.481638590159738e-001   9.588340538068452e-002
