---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.FileName = "LTROC.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LTROC.MarkerPositionFile.pz
 1.120167597765365e+000   5.932539560304082e-001  -1.380234949678034e-001   8.402793378760356e-001
 1.122346368715085e+000   6.131141217593230e-001  -1.386826799283244e-001   8.401309974088689e-001
 1.124525139664806e+000   6.331803070387545e-001  -1.393242877486532e-001   8.400910213732590e-001
 1.126703910614527e+000   6.534512772193265e-001  -1.399427885837931e-001   8.401523551892104e-001
 1.128882681564247e+000   6.739224281309014e-001  -1.405329376107298e-001   8.403083563149691e-001
 1.131061452513968e+000   6.945855996657508e-001  -1.410898470659419e-001   8.405530556751371e-001
 1.133240223463689e+000   7.154297801786166e-001  -1.416089709881596e-001   8.408812181377602e-001
 1.135418994413410e+000   7.364413193160241e-001  -1.420861205589692e-001   8.412884051976417e-001
 1.137597765363130e+000   7.576040587770018e-001  -1.425175238331948e-001   8.417711101966151e-001
 1.139776536312851e+000   7.788999410577817e-001  -1.428997944110159e-001   8.423266223550625e-001
 1.141955307262572e+000   8.003091820522523e-001  -1.432299577304106e-001   8.429530113690238e-001
 1.144134078212293e+000   8.218105604453518e-001  -1.435055111924678e-001   8.436490632800560e-001
 1.146312849162013e+000   8.433819606246308e-001  -1.437244027896689e-001   8.444140547946654e-001
 1.148491620111734e+000   8.650006348811347e-001  -1.438850891561196e-001   8.452476575677451e-001
 1.150670391061455e+000   8.866437355000365e-001  -1.439866199303494e-001   8.461497183097724e-001
 1.152849162011176e+000   9.082887371247184e-001  -1.440286123176227e-001   8.471200566420442e-001
 1.155027932960896e+000   9.299138442783228e-001  -1.440113380240840e-001   8.481582940096842e-001
 1.157206703910617e+000   9.514985634447852e-001  -1.439357900660737e-001   8.492636043407251e-001
 1.159385474860338e+000   9.730238792307341e-001  -1.438036314248783e-001   8.504346301313244e-001
 1.161564245810059e+000   9.944727181448203e-001  -1.436172844902800e-001   8.516693009525761e-001
 1.163743016759779e+000   1.015830213965912e+000  -1.433799107932404e-001   8.529647412541294e-001
 1.165921787709500e+000   1.037083599915224e+000  -1.430952994601960e-001   8.543173354706922e-001
 1.168100558659221e+000   1.058222535939236e+000  -1.427678668073994e-001   8.557226561426489e-001
 1.170279329608942e+000   1.079239003975760e+000  -1.424024555666903e-001   8.571756097351875e-001
 1.172458100558662e+000   1.100127110925599e+000  -1.420041661802481e-001   8.586705833685011e-001
 1.174636871508383e+000   1.120883292010646e+000  -1.415781761614811e-001   8.602015371184342e-001
 1.176815642458104e+000   1.141506020493203e+000  -1.411294812771640e-001   8.617622300344086e-001
 1.178994413407825e+000   1.161995614805868e+000  -1.406627675772711e-001   8.633463420999668e-001
 1.181173184357545e+000   1.182354305272915e+000  -1.401821752127932e-001   8.649476338384994e-001
 1.183351955307266e+000   1.202585885592360e+000  -1.396912192030384e-001   8.665600766801488e-001
 1.185530726256987e+000   1.222695570697496e+000  -1.391927536089122e-001   8.681779183718786e-001
 1.187709497206708e+000   1.242689975079118e+000  -1.386888544918236e-001   8.697958112757108e-001
 1.189888268156428e+000   1.262576773995940e+000  -1.381809339230139e-001   8.714088143311731e-001
 1.192067039106149e+000   1.282364575916771e+000  -1.376697704706578e-001   8.730124113617417e-001
 1.194245810055870e+000   1.302062755033798e+000  -1.371555381323916e-001   8.746025497198529e-001
 1.196424581005591e+000   1.321681115537621e+000  -1.366379719291029e-001   8.761755495806961e-001
 1.198603351955311e+000   1.341229724308501e+000  -1.361164240150447e-001   8.777280852006115e-001
 1.200782122905032e+000   1.360718611239419e+000  -1.355899654044913e-001   8.792571425762108e-001
 1.202960893854753e+000   1.380157554615991e+000  -1.350575184686346e-001   8.807599391110927e-001
 1.205139664804473e+000   1.399555894740250e+000  -1.345179283619306e-001   8.822339088860418e-001
 1.207318435754194e+000   1.418922276213701e+000  -1.339700864093384e-001   8.836766889882554e-001
 1.209497206703915e+000   1.438264614431025e+000  -1.334130003683289e-001   8.850861027405580e-001
 1.211675977653636e+000   1.457589946899418e+000  -1.328458707515119e-001   8.864601881033151e-001
 1.213854748603356e+000   1.476904388319910e+000  -1.322681685813860e-001   8.877972393754701e-001
 1.216033519553077e+000   1.496213261816268e+000  -1.316796416410258e-001   8.890958102980674e-001
 1.218212290502798e+000   1.515521070765825e+000  -1.310803766740069e-001   8.903547734742675e-001
 1.220391061452519e+000   1.534831639764332e+000  -1.304708203190924e-001   8.915733448770430e-001
 1.222569832402239e+000   1.554148277721337e+000  -1.298517500072257e-001   8.927510542160213e-001
 1.224748603351960e+000   1.573473857800410e+000  -1.292243104439832e-001   8.938877740620402e-001
 1.226927374301681e+000   1.592811044180178e+000  -1.285899710096352e-001   8.949836563820899e-001
 1.229106145251402e+000   1.612162430318483e+000  -1.279504880867503e-001   8.960390705555805e-001
 1.231284916201122e+000   1.631530707144581e+000  -1.273079200616073e-001   8.970545609242195e-001
 1.233463687150843e+000   1.650918839390200e+000  -1.266645975667593e-001   8.980307491895284e-001
 1.235642458100564e+000   1.670330169391646e+000  -1.260231113285567e-001   8.989682851402538e-001
 1.237821229050285e+000   1.689768655021305e+000  -1.253863478577092e-001   8.998677832048603e-001
 1.240000000000005e+000   1.709239036430658e+000  -1.247574573944651e-001   9.007297808533495e-001
