---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.FileName = "RICST.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RICST.MarkerPositionFile.pz
 1.094022346368716e+000   3.982990100403446e-001  -4.545752571972284e-001   1.015178085147598e+000
 1.096201117318436e+000   4.185946720648652e-001  -4.547360462242460e-001   1.013408161544409e+000
 1.098379888268157e+000   4.389256172072869e-001  -4.549214686064288e-001   1.011746195158605e+000
 1.100558659217878e+000   4.592900256477027e-001  -4.551291030890033e-001   1.010209324133161e+000
 1.102737430167599e+000   4.796853610493877e-001  -4.553561333760642e-001   1.008814313251539e+000
 1.104916201117319e+000   5.001082992282907e-001  -4.555993353052886e-001   1.007577268027303e+000
 1.107094972067040e+000   5.205547826088542e-001  -4.558551455275802e-001   1.006513238652818e+000
 1.109273743016761e+000   5.410201464946111e-001  -4.561197513340214e-001   1.005636038202893e+000
 1.111452513966482e+000   5.614991311488892e-001  -4.563891396763489e-001   1.004957747124338e+000
 1.113631284916202e+000   5.819860544121778e-001  -4.566592268938614e-001   1.004488316453371e+000
 1.115810055865923e+000   6.024749582875252e-001  -4.569259437473394e-001   1.004235459488587e+000
 1.117988826815644e+000   6.229597512197580e-001  -4.571853495675203e-001   1.004204015004458e+000
 1.120167597765365e+000   6.434344860517293e-001  -4.574337363018000e-001   1.004395822348414e+000
 1.122346368715085e+000   6.638935401380876e-001  -4.576676668831349e-001   1.004809757347976e+000
 1.124525139664806e+000   6.843319626878912e-001  -4.578840727098046e-001   1.005441241769280e+000
 1.126703910614527e+000   7.047456707835945e-001  -4.580802618322010e-001   1.006282634825708e+000
 1.128882681564247e+000   7.251315340361484e-001  -4.582539314386419e-001   1.007323443622482e+000
 1.131061452513968e+000   7.454876000850925e-001  -4.584032456231039e-001   1.008550312364112e+000
 1.133240223463689e+000   7.658130049393351e-001  -4.585267877818612e-001   1.009947753153335e+000
 1.135418994413410e+000   7.861079821914837e-001  -4.586235531830553e-001   1.011498435169303e+000
 1.137597765363130e+000   8.063739498392589e-001  -4.586929570868102e-001   1.013183540101968e+000
 1.139776536312851e+000   8.266132723806112e-001  -4.587347616374982e-001   1.014983379127424e+000
 1.141955307262572e+000   8.468292020001966e-001  -4.587490736333608e-001   1.016877674396284e+000
 1.144134078212293e+000   8.670257521038256e-001  -4.587363586440370e-001   1.018846019822661e+000
 1.146312849162013e+000   8.872074579816873e-001  -4.586973881327064e-001   1.020868245483185e+000
 1.148491620111734e+000   9.073792879140448e-001  -4.586332478499773e-001   1.022924701973207e+000
 1.150670391061455e+000   9.275464691164748e-001  -4.585453305457963e-001   1.024996686547273e+000
 1.152849162011176e+000   9.477143130633658e-001  -4.584352804828881e-001   1.027066569792423e+000
 1.155027932960896e+000   9.678880862590938e-001  -4.583049940150935e-001   1.029118089046976e+000
 1.157206703910617e+000   9.880727981117043e-001  -4.581565849599015e-001   1.031136618029572e+000
 1.159385474860338e+000   1.008273095466506e+000  -4.579923284175254e-001   1.033109110800382e+000
 1.161564245810059e+000   1.028493085932889e+000  -4.578146391097561e-001   1.035024375728657e+000
 1.163743016759779e+000   1.048736173827409e+000  -4.576260062266915e-001   1.036873138569756e+000
 1.165921787709500e+000   1.069005043582089e+000  -4.574289442027031e-001   1.038647884123065e+000
 1.168100558659221e+000   1.089301488797586e+000  -4.572259425230058e-001   1.040343066834577e+000
 1.170279329608942e+000   1.109626407519449e+000  -4.570194051135217e-001   1.041954972971851e+000
 1.172458100558662e+000   1.129979863299918e+000  -4.568116230745447e-001   1.043481533389751e+000
 1.174636871508383e+000   1.150360986591449e+000  -4.566047150438787e-001   1.044922434501232e+000
 1.176815642458104e+000   1.170768033333274e+000  -4.564005856870385e-001   1.046278837592197e+000
 1.178994413407825e+000   1.191198399838345e+000  -4.562008988569232e-001   1.047553186978508e+000
 1.181173184357545e+000   1.211648452559123e+000  -4.560069852607427e-001   1.048749157354891e+000
 1.183351955307266e+000   1.232113538978575e+000  -4.558198112821416e-001   1.049871286698905e+000
 1.185530726256987e+000   1.252587972518045e+000  -4.556399572717333e-001   1.050924794836410e+000
 1.187709497206708e+000   1.273064873221501e+000  -4.554675358866692e-001   1.051915381435934e+000
 1.189888268156428e+000   1.293536314801065e+000  -4.553022361665632e-001   1.052848928251773e+000
 1.192067039106149e+000   1.313993355733084e+000  -4.551433258856416e-001   1.053731351684773e+000
 1.194245810055870e+000   1.334426065063092e+000  -4.549896403967911e-001   1.054568377683697e+000
 1.196424581005591e+000   1.354823917464655e+000  -4.548397171459327e-001   1.055365453812377e+000
 1.198603351955311e+000   1.375176036100954e+000  -4.546918676372619e-001   1.056127685352066e+000
 1.200782122905032e+000   1.395471777757053e+000  -4.545443592440209e-001   1.056859788738313e+000
 1.202960893854753e+000   1.415701118743417e+000  -4.543955520589420e-001   1.057566145197223e+000
 1.205139664804473e+000   1.435854973249782e+000  -4.542439887667026e-001   1.058250781252572e+000
 1.207318435754194e+000   1.455925438824221e+000  -4.540884405504114e-001   1.058917331574190e+000
 1.209497206703915e+000   1.475905695969707e+000  -4.539278619212023e-001   1.059569076742874e+000
 1.211675977653636e+000   1.495790131618883e+000  -4.537613898150482e-001   1.060208910997549e+000
 1.213854748603356e+000   1.515574442588138e+000  -4.535883561583324e-001   1.060839359933625e+000
 1.216033519553077e+000   1.535255540738162e+000  -4.534083021078864e-001   1.061462600154309e+000
