---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.FileName = "RTH1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTH1.MarkerPositionFile.pz
 1.157206703910617e+000   1.179491592793506e+000  -5.080185468970644e-001   8.405946231531184e-001
 1.159385474860338e+000   1.200353509426279e+000  -5.071006493895504e-001   8.445869716417456e-001
 1.161564245810059e+000   1.221137479193553e+000  -5.062202416785291e-001   8.483961609198278e-001
 1.163743016759779e+000   1.241846629827061e+000  -5.053782169701857e-001   8.520047007969998e-001
 1.165921787709500e+000   1.262483407896236e+000  -5.045752846185115e-001   8.553963366138609e-001
 1.168100558659221e+000   1.283049386518199e+000  -5.038119427869318e-001   8.585564599392739e-001
 1.170279329608942e+000   1.303545421995972e+000  -5.030885866353733e-001   8.614723101993689e-001
 1.172458100558662e+000   1.323971857267565e+000  -5.024055981426246e-001   8.641329466261272e-001
 1.174636871508383e+000   1.344328699687146e+000  -5.017634627621018e-001   8.665295783674318e-001
 1.176815642458104e+000   1.364615753310270e+000  -5.011627734347609e-001   8.686553286240258e-001
 1.178994413407825e+000   1.384832651819670e+000  -5.006041957405235e-001   8.705050295117045e-001
 1.181173184357545e+000   1.404978843512373e+000  -5.000884024720336e-001   8.720752090408015e-001
 1.183351955307266e+000   1.425053679356774e+000  -4.996160200645956e-001   8.733637119673413e-001
 1.185530726256987e+000   1.445056451956624e+000  -4.991876021754791e-001   8.743695642541299e-001
 1.187709497206708e+000   1.464986438010235e+000  -4.988035825596711e-001   8.750929747174949e-001
 1.189888268156428e+000   1.484842886876851e+000  -4.984642722659400e-001   8.755352148394593e-001
 1.192067039106149e+000   1.504625009862155e+000  -4.981698615823701e-001   8.756986831978839e-001
 1.194245810055870e+000   1.524331957325914e+000  -4.979204390980057e-001   8.755872119738952e-001
 1.196424581005591e+000   1.543962812469929e+000  -4.977160306898996e-001   8.752061152513265e-001
 1.198603351955311e+000   1.563516575231802e+000  -4.975566065027624e-001   8.745623808719518e-001
 1.200782122905032e+000   1.582992121137938e+000  -4.974420611997510e-001   8.736649612113496e-001
 1.202960893854753e+000   1.602388194826130e+000  -4.973721899221693e-001   8.725245237843227e-001
 1.205139664804473e+000   1.621703391066575e+000  -4.973466565586031e-001   8.711535026658742e-001
 1.207318435754194e+000   1.640936158213782e+000  -4.973649601315669e-001   8.695659362293006e-001
 1.209497206703915e+000   1.660084832982632e+000  -4.974264494317769e-001   8.677770365475960e-001
 1.211675977653636e+000   1.679147648742769e+000  -4.975303069451699e-001   8.658030411044796e-001
 1.213854748603356e+000   1.698122759451449e+000  -4.976755384857722e-001   8.636608106804503e-001
 1.216033519553077e+000   1.717008277470006e+000  -4.978609791563366e-001   8.613674990173048e-001
 1.218212290502798e+000   1.735802308872881e+000  -4.980852598252434e-001   8.589402981254319e-001
 1.220391061452519e+000   1.754503044352088e+000  -4.983467867048357e-001   8.563960885024552e-001
 1.222569832402239e+000   1.773108823839681e+000  -4.986437462164621e-001   8.537512845583705e-001
 1.224748603351960e+000   1.791618253120803e+000  -4.989740604263853e-001   8.510215646178718e-001
 1.226927374301681e+000   1.810030336453222e+000  -4.993353850646442e-001   8.482217009060290e-001
 1.229106145251402e+000   1.828344550680598e+000  -4.997251276048081e-001   8.453655234947066e-001
 1.231284916201122e+000   1.846561059217352e+000  -5.001404213131978e-001   8.424656778177148e-001
 1.233463687150843e+000   1.864680850308083e+000  -5.005781637597864e-001   8.395336240716201e-001
 1.235642458100564e+000   1.882705817765934e+000  -5.010350420939722e-001   8.365796602644422e-001
 1.237821229050285e+000   1.900639063435659e+000  -5.015075345517912e-001   8.336127536607688e-001
 1.240000000000005e+000   1.918484977631469e+000  -5.019919749666350e-001   8.306406947309236e-001
