---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.FileName = "LLEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LLEP.MarkerPositionFile.pz
 1.163743016759779e+000   9.390948308829323e-001  -1.282710130596332e-001   4.593918658995242e-001
 1.165921787709500e+000   9.537058880548137e-001  -1.282875897804964e-001   4.620588399308545e-001
 1.168100558659221e+000   9.686100738923964e-001  -1.283367991236531e-001   4.647316536406983e-001
 1.170279329608942e+000   9.838170220447385e-001  -1.284204323239697e-001   4.673921891964707e-001
 1.172458100558662e+000   9.993346734141358e-001  -1.285394398203104e-001   4.700236268300500e-001
 1.174636871508383e+000   1.015168750403491e+000  -1.286938121357001e-001   4.726108758018187e-001
 1.176815642458104e+000   1.031322686312932e+000  -1.288826667138089e-001   4.751407222684230e-001
 1.178994413407825e+000   1.047797669288536e+000  -1.291043090947437e-001   4.776018685404432e-001
 1.181173184357545e+000   1.064592322445289e+000  -1.293561679686976e-001   4.799853427628584e-001
 1.183351955307266e+000   1.081703038532483e+000  -1.296349232238214e-001   4.822843387092288e-001
 1.185530726256987e+000   1.099124127636462e+000  -1.299365590991569e-001   4.844941535310430e-001
 1.187709497206708e+000   1.116847795819884e+000  -1.302563575809838e-001   4.866123375174807e-001
 1.189888268156428e+000   1.134864632175844e+000  -1.305890714719012e-001   4.886382674972709e-001
 1.192067039106149e+000   1.153163779713714e+000  -1.309289978987021e-001   4.905730141581638e-001
 1.194245810055870e+000   1.171733131986563e+000  -1.312700946078570e-001   4.924192052811351e-001
 1.196424581005591e+000   1.190559755213080e+000  -1.316061880539716e-001   4.941805506619941e-001
 1.198603351955311e+000   1.209630057607459e+000  -1.319310981973718e-001   4.958616615364156e-001
 1.200782122905032e+000   1.228930077461651e+000  -1.322388752794798e-001   4.974677265362538e-001
 1.202960893854753e+000   1.248445784622782e+000  -1.325239407545478e-001   4.990041567342160e-001
 1.205139664804473e+000   1.268163284879674e+000  -1.327812402210147e-001   5.004763694838432e-001
 1.207318435754194e+000   1.288069147200403e+000  -1.330064390344232e-001   5.018894388628320e-001
 1.209497206703915e+000   1.308150540736062e+000  -1.331959121711450e-001   5.032479309834042e-001
 1.211675977653636e+000   1.328395460279976e+000  -1.333468575420386e-001   5.045556836285980e-001
 1.213854748603356e+000   1.348792976313553e+000  -1.334573163252875e-001   5.058156089100597e-001
 1.216033519553077e+000   1.369333272227366e+000  -1.335260507725259e-001   5.070297317572599e-001
 1.218212290502798e+000   1.390007920248105e+000  -1.335525701791633e-001   5.081990573063911e-001
 1.220391061452519e+000   1.410810032416443e+000  -1.335370092834174e-001   5.093236380533831e-001
 1.222569832402239e+000   1.431734196778798e+000  -1.334799978762763e-001   5.104027424690757e-001
 1.224748603351960e+000   1.452776728779021e+000  -1.333826235133364e-001   5.114348908457990e-001
 1.226927374301681e+000   1.473935627220373e+000  -1.332463029959592e-001   5.124181067333169e-001
 1.229106145251402e+000   1.495210465697681e+000  -1.330727097414343e-001   5.133500829224514e-001
 1.231284916201122e+000   1.516602592131699e+000  -1.328637441128235e-001   5.142283271099433e-001
 1.233463687150843e+000   1.538115002925418e+000  -1.326214807274852e-001   5.150503381510593e-001
 1.235642458100564e+000   1.559752292624531e+000  -1.323481477922448e-001   5.158136802416996e-001
 1.237821229050285e+000   1.581520910525750e+000  -1.320461333866207e-001   5.165160853479957e-001
 1.240000000000005e+000   1.603429111295971e+000  -1.317179615081203e-001   5.171554973040495e-001
