---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.FileName = "RMME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RMME.MarkerPositionFile.pz
 1.076592178770950e+000   1.502623757977585e-001  -2.921419574836205e-001   5.999464226418089e-001
 1.078770949720670e+000   1.793948427152278e-001  -2.929512709693644e-001   5.966703142750904e-001
 1.080949720670391e+000   2.084150734230932e-001  -2.937466521868033e-001   5.932710831348916e-001
 1.083128491620112e+000   2.373306537442230e-001  -2.945275903845767e-001   5.897557307539830e-001
 1.085307262569833e+000   2.661500759646017e-001  -2.952942266715671e-001   5.861312599293531e-001
 1.087486033519553e+000   2.948829143188156e-001  -2.960474136937586e-001   5.824046288740732e-001
 1.089664804469274e+000   3.235397647003367e-001  -2.967886536997579e-001   5.785827166884262e-001
 1.091843575418995e+000   3.521323279953132e-001  -2.975201579637667e-001   5.746722991005001e-001
 1.094022346368716e+000   3.806734048669299e-001  -2.982449372019134e-001   5.706800568894263e-001
 1.096201117318436e+000   4.091766079803735e-001  -2.989667244655088e-001   5.666126583061107e-001
 1.098379888268157e+000   4.376562842777053e-001  -2.996900276757648e-001   5.624768372451908e-001
 1.100558659217878e+000   4.661273815628761e-001  -3.004200422318286e-001   5.582795601937393e-001
 1.102737430167599e+000   4.946054313681161e-001  -3.011624366936059e-001   5.540281109737966e-001
 1.104916201117319e+000   5.231066893828096e-001  -3.019232372388179e-001   5.497302333357844e-001
 1.107094972067040e+000   5.516482968595786e-001  -3.027085671564223e-001   5.453942438405496e-001
 1.109273743016761e+000   5.802482232217775e-001  -3.035244966510209e-001   5.410290152330106e-001
 1.111452513966482e+000   6.089253382214557e-001  -3.043768796887231e-001   5.366440673595770e-001
 1.113631284916202e+000   6.376990340317612e-001  -3.052712525135067e-001   5.322494922454752e-001
 1.115810055865923e+000   6.665888112662214e-001  -3.062128415078898e-001   5.278558516574934e-001
 1.117988826815644e+000   6.956136954056745e-001  -3.072065265463437e-001   5.234741412811674e-001
 1.120167597765365e+000   7.247916037323857e-001  -3.082568746249539e-001   5.191156819623581e-001
 1.122346368715085e+000   7.541391002056442e-001  -3.093681406382943e-001   5.147920675528762e-001
 1.124525139664806e+000   7.836708390908390e-001  -3.105441862159459e-001   5.105151522889524e-001
 1.126703910614527e+000   8.133994661939777e-001  -3.117884490349019e-001   5.062969509056428e-001
 1.128882681564247e+000   8.433355211456755e-001  -3.131039094952383e-001   5.021495770562388e-001
 1.131061452513968e+000   8.734869595949231e-001  -3.144929578497463e-001   4.980851469820735e-001
 1.133240223463689e+000   9.038592006177563e-001  -3.159573531597120e-001   4.941156891381422e-001
 1.135418994413410e+000   9.344549404189793e-001  -3.174981374983631e-001   4.902530831428015e-001
 1.137597765363130e+000   9.652735143466900e-001  -3.191153901091596e-001   4.865089328086903e-001
 1.139776536312851e+000   9.963109423820344e-001  -3.208081940467246e-001   4.828944130165425e-001
 1.141955307262572e+000   1.027559633788399e+000  -3.225745253677314e-001   4.794200832714540e-001
 1.144134078212293e+000   1.059007967606949e+000  -3.244111080715196e-001   4.760954425869816e-001
 1.146312849162013e+000   1.090641100769629e+000  -3.263136493983177e-001   4.729287595292556e-001
 1.148491620111734e+000   1.122441145803389e+000  -3.282768771946687e-001   4.699267894786115e-001
 1.150670391061455e+000   1.154387939485935e+000  -3.302947338558264e-001   4.670944796032921e-001
 1.152849162011176e+000   1.186459893284300e+000  -3.323606185490834e-001   4.644351060896007e-001
 1.155027932960896e+000   1.218634383267707e+000  -3.344674720920585e-001   4.619500890270761e-001
 1.157206703910617e+000   1.250888331601738e+000  -3.366079190604539e-001   4.596389632712339e-001
 1.159385474860338e+000   1.283198601757755e+000  -3.387743907468581e-001   4.574996450973535e-001
 1.161564245810059e+000   1.315542346842522e+000  -3.409591988770790e-001   4.555283578956789e-001
 1.163743016759779e+000   1.347897410845792e+000  -3.431546591821874e-001   4.537198598007867e-001
 1.165921787709500e+000   1.380242432584303e+000  -3.453531533857466e-001   4.520677271880627e-001
 1.168100558659221e+000   1.412557109654487e+000  -3.475472081109788e-001   4.505644110791716e-001
 1.170279329608942e+000   1.444822247901058e+000  -3.497295543137282e-001   4.492015566178876e-001
 1.172458100558662e+000   1.477019697728700e+000  -3.518931445993185e-001   4.479702317493826e-001
 1.174636871508383e+000   1.509132480452710e+000  -3.540312215115912e-001   4.468610992656741e-001
 1.176815642458104e+000   1.541144621756512e+000  -3.561373314522623e-001   4.458647062853432e-001
 1.178994413407825e+000   1.573041016594624e+000  -3.582053253649497e-001   4.449716323929387e-001
 1.181173184357545e+000   1.604807369171744e+000  -3.602294160008213e-001   4.441727033606935e-001
 1.183351955307266e+000   1.636429888526785e+000  -3.622041547363285e-001   4.434591414682465e-001
 1.185530726256987e+000   1.667895123922225e+000  -3.641244301736177e-001   4.428226501613761e-001
 1.187709497206708e+000   1.699189732691473e+000  -3.659855167258194e-001   4.422556066444629e-001
 1.189888268156428e+000   1.730300255393576e+000  -3.677830445640274e-001   4.417510607606023e-001
 1.192067039106149e+000   1.761213007973536e+000  -3.695130101244811e-001   4.413027596194826e-001
 1.194245810055870e+000   1.791913944034898e+000  -3.711718254988273e-001   4.409051938516799e-001
 1.196424581005591e+000   1.822388699561384e+000  -3.727562813018933e-001   4.405534232674127e-001
 1.198603351955311e+000   1.852622597424594e+000  -3.742635698397545e-001   4.402430249859777e-001
 1.200782122905032e+000   1.882600683495237e+000  -3.756913333765129e-001   4.399699887192284e-001
 1.202960893854753e+000   1.912307799483227e+000  -3.770376277029152e-001   4.397305701059716e-001
 1.205139664804473e+000   1.941728602849259e+000  -3.783009627070040e-001   4.395212296698091e-001
 1.207318435754194e+000   1.970847613294485e+000  -3.794803460255681e-001   4.393385241035975e-001
 1.209497206703915e+000   1.999649302904492e+000  -3.805752341930371e-001   4.391790202644080e-001
 1.211675977653636e+000   2.028118183903679e+000  -3.815855744126783e-001   4.390392287770797e-001
 1.213854748603356e+000   2.056239046098299e+000  -3.825117917211648e-001   4.389155208484510e-001
