---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.FileName = "RLME.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RLME.MarkerPositionFile.pz
 1.091843575418995e+000   2.903355336774361e-001  -3.739722566706009e-001   5.871516776516610e-001
 1.094022346368716e+000   3.189291729215589e-001  -3.748421282942239e-001   5.820012373394663e-001
 1.096201117318436e+000   3.475735214438035e-001  -3.757473811296311e-001   5.767579978948014e-001
 1.098379888268157e+000   3.762844990190478e-001  -3.766923018248457e-001   5.714332062443009e-001
 1.100558659217878e+000   4.050779589235546e-001  -3.776811694859998e-001   5.660390518962808e-001
 1.102737430167599e+000   4.339695438310986e-001  -3.787181736803920e-001   5.605885696309234e-001
 1.104916201117319e+000   4.629744982488966e-001  -3.798073208486263e-001   5.550957176855198e-001
 1.107094972067040e+000   4.921074150199243e-001  -3.809523345591002e-001   5.495753043194218e-001
 1.109273743016761e+000   5.213821354034024e-001  -3.821566353444508e-001   5.440428186280029e-001
 1.111452513966482e+000   5.508114708935300e-001  -3.834232562345378e-001   5.385143780189090e-001
 1.113631284916202e+000   5.804070505836354e-001  -3.847548232189986e-001   5.330064521581203e-001
 1.115810055865923e+000   6.101793286130693e-001  -3.861535696218518e-001   5.275356634770613e-001
 1.117988826815644e+000   6.401373448052029e-001  -3.876212671952132e-001   5.221185568456438e-001
 1.120167597765365e+000   6.702887489703352e-001  -3.891592349132068e-001   5.167713317505585e-001
 1.122346368715085e+000   7.006398332233264e-001  -3.907683577287697e-001   5.115097037323197e-001
 1.124525139664806e+000   7.311953028263147e-001  -3.924490330905878e-001   5.063486082055696e-001
 1.126703910614527e+000   7.619583731665580e-001  -3.942012434728224e-001   5.013020473132472e-001
 1.128882681564247e+000   7.929307955970661e-001  -3.960245891900603e-001   4.963829946095787e-001
 1.131061452513968e+000   8.241126856715225e-001  -3.979182852002278e-001   4.916031007019795e-001
