---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.FileName = "LASIS.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LASIS.MarkerPositionFile.pz
 1.046089385474859e+000   4.055237676936854e-002  -1.813953774166512e-001   9.996413099765762e-001
 1.048268156424580e+000   5.984276474372945e-002  -1.810320557520415e-001   9.984893654814130e-001
 1.050446927374301e+000   7.915288398903433e-002  -1.806600289586254e-001   9.972401174535661e-001
 1.052625698324021e+000   9.848108823880357e-002  -1.802796644309181e-001   9.958939801489675e-001
 1.054804469273742e+000   1.178254140973675e-001  -1.798911763951666e-001   9.944523400705143e-001
 1.056983240223463e+000   1.371835947351575e-001  -1.794946268952603e-001   9.929176336345229e-001
 1.059162011173184e+000   1.565530937462359e-001  -1.790899342105149e-001   9.912933203531269e-001
 1.061340782122904e+000   1.759310938992012e-001  -1.786768505433223e-001   9.895840762122140e-001
 1.063519553072625e+000   1.953145925218233e-001  -1.782549728415485e-001   9.877957644218980e-001
 1.065698324022346e+000   2.147004901577553e-001  -1.778237552917057e-001   9.859353796789975e-001
 1.067877094972067e+000   2.340857236796726e-001  -1.773825006161054e-001   9.840111893563028e-001
 1.070055865921787e+000   2.534674623601982e-001  -1.769303934675548e-001   9.820325717570213e-001
 1.072234636871508e+000   2.728432301159171e-001  -1.764665277522522e-001   9.800099285637115e-001
 1.074413407821229e+000   2.922111686640273e-001  -1.759899505167462e-001   9.779546873181458e-001
 1.076592178770950e+000   3.115701676212078e-001  -1.754997643286333e-001   9.758790313120122e-001
 1.078770949720670e+000   3.309199807778256e-001  -1.749952054037586e-001   9.737957784418669e-001
 1.080949720670391e+000   3.502615010765388e-001  -1.744758183485753e-001   9.717182128403311e-001
 1.083128491620112e+000   3.695967564928268e-001  -1.739415712331936e-001   9.696598052117882e-001
 1.085307262569833e+000   3.889290206270186e-001  -1.733929724157490e-001   9.676340524218927e-001
 1.087486033519553e+000   4.082630194708323e-001  -1.728312886282909e-001   9.656541806365874e-001
 1.089664804469274e+000   4.276047985596007e-001  -1.722585695340194e-001   9.637329438387272e-001
 1.091843575418995e+000   4.469618114875379e-001  -1.716777728796395e-001   9.618824131195761e-001
 1.094022346368716e+000   4.663429611717216e-001  -1.710929124977209e-001   9.601136428400320e-001
 1.096201117318436e+000   4.857583429099942e-001  -1.705089596492700e-001   9.584365970608066e-001
 1.098379888268157e+000   5.052192399298654e-001  -1.699319246150426e-001   9.568598995574211e-001
 1.100558659217878e+000   5.247379212743863e-001  -1.693688164015327e-001   9.553906131165824e-001
 1.102737430167599e+000   5.443273456545293e-001  -1.688274450616474e-001   9.540343470273267e-001
 1.104916201117319e+000   5.640010174470574e-001  -1.683163924845199e-001   9.527950697420859e-001
 1.107094972067040e+000   5.837726317820310e-001  -1.678447985032725e-001   9.516751591417588e-001
 1.109273743016761e+000   6.036558068943951e-001  -1.674221559631982e-001   9.506756098320613e-001
 1.111452513966482e+000   6.236637588034548e-001  -1.670581554903196e-001   9.497959570731799e-001
 1.113631284916202e+000   6.438088823027194e-001  -1.667623930928305e-001   9.490344742691129e-001
 1.115810055865923e+000   6.641025395745800e-001  -1.665441841526638e-001   9.483883636828824e-001
 1.117988826815644e+000   6.845545468733782e-001  -1.664122480445466e-001   9.478537628455761e-001
 1.120167597765365e+000   7.051728244977749e-001  -1.663743973370200e-001   9.474259824456428e-001
 1.122346368715085e+000   7.259632408017517e-001  -1.664373799694938e-001   9.470996462334818e-001
 1.124525139664806e+000   7.469289865797182e-001  -1.666064391901050e-001   9.468687524318528e-001
 1.126703910614527e+000   7.680706286176368e-001  -1.668852342913322e-001   9.467268753917231e-001
 1.128882681564247e+000   7.893861512854076e-001  -1.672757968670609e-001   9.466672707593828e-001
 1.131061452513968e+000   8.108707205736021e-001  -1.677782579492009e-001   9.466830020922137e-001
 1.133240223463689e+000   8.325171074671213e-001  -1.683910174205182e-001   9.467671240803248e-001
 1.135418994413410e+000   8.543157558679970e-001  -1.691107202821573e-001   9.469127892207251e-001
 1.137597765363130e+000   8.762546693927116e-001  -1.699320550701308e-001   9.471134421321804e-001
 1.139776536312851e+000   8.983198401780510e-001  -1.708480038604003e-001   9.473629289987241e-001
 1.141955307262572e+000   9.204953139364541e-001  -1.718498238257214e-001   9.476556057288358e-001
 1.144134078212293e+000   9.427633336073611e-001  -1.729270324209488e-001   9.479865188121153e-001
 1.146312849162013e+000   9.651048421429891e-001  -1.740677591567206e-001   9.483513887264592e-001
 1.148491620111734e+000   9.874996526263212e-001  -1.752587949947375e-001   9.487466877459075e-001
 1.150670391061455e+000   1.009926841165130e+000  -1.764857915603325e-001   9.491696855019374e-001
 1.152849162011176e+000   1.032365160830265e+000  -1.777336136319739e-001   9.496183256521977e-001
 1.155027932960896e+000   1.054793321417049e+000  -1.789864892428178e-001   9.500912451823108e-001
 1.157206703910617e+000   1.077190451428325e+000  -1.802283646081663e-001   9.505877065344410e-001
 1.159385474860338e+000   1.099536340549870e+000  -1.814431926481041e-001   9.511074793598385e-001
 1.161564245810059e+000   1.121811808379758e+000  -1.826152168658503e-001   9.516508389775163e-001
 1.163743016759779e+000   1.143999061971003e+000  -1.837293689804957e-001   9.522184977134485e-001
 1.165921787709500e+000   1.166081765752301e+000  -1.847714491053309e-001   9.528115324391274e-001
 1.168100558659221e+000   1.188045440205039e+000  -1.857285244740357e-001   9.534313888535747e-001
 1.170279329608942e+000   1.209877597231532e+000  -1.865892107112698e-001   9.540798186453274e-001
 1.172458100558662e+000   1.231567688969956e+000  -1.873437361663470e-001   9.547588261367686e-001
 1.174636871508383e+000   1.253107454076314e+000  -1.879843712784014e-001   9.554706527769116e-001
