---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.FileName = "rfbk.txt"
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Search = 
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.SepSign = "  "
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.LineSepSign = ""
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.px
col2  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.py
col3  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.px  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.py  Main.MarkerModel.Markers2.rfbk.MarkerPositionFile.pz
 1.158025477707009e+000   1.159284186958137e+000  -3.564135454300790e-001   4.363885068697050e-001
 1.160509554140130e+000   1.197551609156968e+000  -3.601321758487567e-001   4.298493903239851e-001
 1.162993630573251e+000   1.235938417075031e+000  -3.640736575216706e-001   4.237097383702165e-001
 1.165477707006372e+000   1.274361446125826e+000  -3.681972614159833e-001   4.179353101151630e-001
 1.167961783439494e+000   1.312740536903642e+000  -3.724549178613772e-001   4.124956333845854e-001
 1.170445859872615e+000   1.351026804945395e+000  -3.768022020176998e-001   4.073653297668892e-001
 1.172929936305736e+000   1.389217129890307e+000  -3.812016707106868e-001   4.025210518128894e-001
 1.175414012738857e+000   1.427351314889167e+000  -3.856189252036064e-001   3.979360967020644e-001
 1.177898089171978e+000   1.465474939183099e+000  -3.900127389468807e-001   3.935797979385806e-001
 1.180382165605099e+000   1.503605688400254e+000  -3.943314426866413e-001   3.894233173497249e-001
 1.182866242038220e+000   1.541723072438437e+000  -3.985154029566527e-001   3.854441485543438e-001
 1.185350318471341e+000   1.579781305629570e+000  -4.025049818369449e-001   3.816286940145410e-001
 1.187834394904462e+000   1.617733552441042e+000  -4.062480838054013e-001   3.779730795045626e-001
 1.190318471337583e+000   1.655534692796074e+000  -4.097019343262263e-001   3.744865192367159e-001
 1.192802547770705e+000   1.693141412465610e+000  -4.128353506842776e-001   3.711908235405620e-001
 1.195286624203826e+000   1.730516375004364e+000  -4.156335423360409e-001   3.681129362986015e-001
 1.197770700636947e+000   1.767642966786542e+000  -4.181028845439955e-001   3.652682882182218e-001
 1.200254777070068e+000   1.804525264584401e+000  -4.202653027226204e-001   3.626550432998127e-001
 1.202738853503189e+000   1.841176227487106e+000  -4.221466685557368e-001   3.602562030676407e-001
 1.205222929936310e+000   1.877592697429409e+000  -4.237587983900156e-001   3.580495478523674e-001
 1.207707006369431e+000   1.913737707051621e+000  -4.250899910274342e-001   3.560171775840465e-001
 1.210191082802552e+000   1.949556696547115e+000  -4.261164789463057e-001   3.541446406628567e-001
 1.212675159235673e+000   1.984998658320008e+000  -4.268217466051159e-001   3.524155729647289e-001
 1.215159235668794e+000   2.020027790372874e+000  -4.272216018211644e-001   3.508045909278351e-001
 1.217643312101916e+000   2.054575153734778e+000  -4.273699108924912e-001   3.492880072394279e-001
 1.220127388535037e+000   2.088490871312748e+000  -4.273488948298196e-001   3.478620666676252e-001
 1.222611464968158e+000   2.121517501622349e+000  -4.272541840310078e-001   3.465517532120085e-001
 1.225095541401279e+000   2.153309766397770e+000  -4.271742045913400e-001   3.453962140892534e-001
 1.227579617834400e+000   2.183558959486039e+000  -4.271656208029463e-001   3.444055241581082e-001
 1.230063694267521e+000   2.212162832699106e+000  -4.272340293221568e-001   3.435388712629184e-001
 1.232547770700642e+000   2.239357295112438e+000  -4.273241944030718e-001   3.427038750467830e-001
 1.235031847133763e+000   2.265723495717847e+000  -4.273300894040623e-001   3.417875966039357e-001
 1.237515923566884e+000   2.291935370643821e+000  -4.271344242630201e-001   3.406959965335303e-001
 1.240000000000005e+000   2.318536439941210e+000  -4.266399980584754e-001   3.393729935524880e-001
