---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.FileName = "TRNK1.txt"
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.TRNK1.MarkerPositionFile.pz
 1.041731843575418e+000  -1.691965884893707e-001  -2.262939998587416e-001   1.272282750475579e+000
 1.043910614525138e+000  -1.496321972514515e-001  -2.252573545789310e-001   1.271133005472366e+000
 1.046089385474859e+000  -1.300573278821302e-001  -2.241901181616998e-001   1.269889879330237e+000
 1.048268156424580e+000  -1.104720141262108e-001  -2.230946573543051e-001   1.268549755509477e+000
 1.050446927374301e+000  -9.087627351711528e-002  -2.219733706597246e-001   1.267109293221069e+000
 1.052625698324021e+000  -7.127009057712776e-002  -2.208287039033314e-001   1.265565498366417e+000
 1.054804469273742e+000  -5.165339102631263e-002  -2.196631802930418e-001   1.263915883397144e+000
 1.056983240223463e+000  -3.202601732297500e-002  -2.184794388508745e-001   1.262158620474684e+000
 1.059162011173184e+000  -1.238771711486129e-002  -2.172802522687562e-001   1.260292599619306e+000
 1.061340782122904e+000   7.261894689737168e-003  -2.160685805677637e-001   1.258317669144628e+000
 1.063519553072625e+000   2.692336692628821e-002  -2.148475979636096e-001   1.256234747497674e+000
 1.065698324022346e+000   4.659742860500214e-002  -2.136206983193723e-001   1.254045860700580e+000
 1.067877094972067e+000   6.628505170483555e-002  -2.123915435548678e-001   1.251754422858250e+000
 1.070055865921787e+000   8.598747048040270e-002  -2.111640391778002e-001   1.249365237325424e+000
 1.072234636871508e+000   1.057061983341849e-001  -2.099423148539191e-001   1.246884516388644e+000
 1.074413407821229e+000   1.254431016542308e-001  -2.087307166818536e-001   1.244320132305117e+000
 1.076592178770950e+000   1.452003994391093e-001  -2.075337270248253e-001   1.241681484818295e+000
 1.078770949720670e+000   1.649806825794698e-001  -2.063559204246954e-001   1.238979513102787e+000
 1.080949720670391e+000   1.847869782221640e-001  -2.052018857163683e-001   1.236226854805244e+000
 1.083128491620112e+000   2.046226939213814e-001  -2.040761395268408e-001   1.233437612416264e+000
