---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.FileName = "RLEP.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RLEP.MarkerPositionFile.pz
 9.763687150837966e-001  -8.936179311365291e-001  -4.676315373587115e-001   5.220168198700875e-001
 9.785474860335173e-001  -8.693845332387745e-001  -4.692008135264120e-001   5.210231169488246e-001
 9.807262569832379e-001  -8.449551767041933e-001  -4.707929354915498e-001   5.199662858555401e-001
 9.829050279329585e-001  -8.203305944676304e-001  -4.724088388893544e-001   5.188527005075129e-001
 9.850837988826792e-001  -7.955113657351379e-001  -4.740494879060034e-001   5.176888535128168e-001
 9.872625698323998e-001  -7.704979295034049e-001  -4.757159912211720e-001   5.164812960791224e-001
 9.894413407821204e-001  -7.452906324514831e-001  -4.774096073280889e-001   5.152365907823429e-001
 9.916201117318411e-001  -7.198897511524358e-001  -4.791317512493192e-001   5.139612739949940e-001
 9.937988826815617e-001  -6.942955079057378e-001  -4.808838440607614e-001   5.126618147837483e-001
 9.959776536312823e-001  -6.685080689370198e-001  -4.826671955655152e-001   5.113446135634684e-001
 9.981564245810030e-001  -6.425275252657773e-001  -4.844828564498406e-001   5.100159931194030e-001
 1.000335195530724e+000  -6.163538744312394e-001  -4.863315038212129e-001   5.086822321211941e-001
 1.002513966480444e+000  -5.899870083036466e-001  -4.882134229969841e-001   5.073496002151251e-001
 1.004692737430165e+000  -5.634266733516674e-001  -4.901284082102476e-001   5.060244059776112e-001
 1.006871508379886e+000  -5.366724775192125e-001  -4.920757682669125e-001   5.047130727548849e-001
 1.009050279329607e+000  -5.097239250010393e-001  -4.940543530264689e-001   5.034221855632526e-001
 1.011229050279327e+000  -4.825804622748216e-001  -4.960625003498606e-001   5.021585961913748e-001
 1.013407821229048e+000  -4.552415550622251e-001  -4.980980832073174e-001   5.009294832785368e-001
 1.015586592178769e+000  -4.277067195626836e-001  -5.001585250963370e-001   4.997423834514044e-001
