Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos[0]
  2.990000000000000e+00, -7.556248735836217e-02,  8.601123875079475e-02, -3.197271180450936e-02,  1.173000267443701e+00,  1.043450114815831e-01,  3.820258171157923e-02
  3.000000000000000e+00, -4.332091485657017e-02,  8.440318241151279e-02, -3.488114415207895e-02,  1.216442103800234e+00,  8.714466191021494e-02,  6.672828903517823e-02
  3.010000000000000e+00, -1.146650776410283e-02,  8.168530094968252e-02, -3.694884239591942e-02,  1.255150633563902e+00,  6.865982954515853e-02,  9.458648838981093e-02
  3.020000000000000e+00,  1.992407143185215e-02,  7.808551485074378e-02, -3.816219431180019e-02,  1.288853741363619e+00,  4.980440732749822e-02,  1.205219579056980e-01
  3.030000000000000e+00,  5.076568931889253e-02,  7.384436363852087e-02, -3.854611973179805e-02,  1.317368829367671e+00,  3.124449401516047e-02,  1.435622718779243e-01
  3.040000000000000e+00,  8.096562483494769e-02,  6.920109273015740e-02, -3.814826701934393e-02,  1.340583138618982e+00,  1.343952203130239e-02,  1.630387156357004e-01
  3.050000000000000e+00,  1.104123843177586e-01,  6.437616097793342e-02, -3.702274693930818e-02,  1.358430835321962e+00, -3.299796856259805e-03,  1.786217673160012e-01
  3.060000000000000e+00,  1.389832790733602e-01,  5.955735780057880e-02, -3.522016802635391e-02,  1.370878320483920e+00, -1.876154469519899e-02,  1.903192685695665e-01
  3.070000000000000e+00,  1.665618309251293e-01,  5.489098782629886e-02, -3.278495340361273e-02,  1.377916357211111e+00, -3.280031592188552e-02,  1.984496228076565e-01
  3.080000000000000e+00,  1.930442325078982e-01,  5.047982720757194e-02, -2.975455681504937e-02,  1.379554291504143e+00, -4.531944377492922e-02,  2.035911300638549e-01
