Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_PlaneOfElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_Elevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus_InternalAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristAbduction
  2.070000000000000e+00, -4.490034109718946e-01,  2.878188125397467e-01,  1.269955835155243e-01,  7.097320438542436e-01, -3.182612037324104e-01,  1.269955835153753e-01,  2.757041966845127e-01, -3.893660034137882e-01, -5.114441875009185e-01,  1.068555681091866e+00,  8.565449213764726e-01,  1.079930443271142e-01,  3.417552704929556e-02
  2.080000000000000e+00, -4.487919668829289e-01,  2.909695825418250e-01,  1.291884435737688e-01,  7.098127774461568e-01, -3.187240741042654e-01,  1.291884435735680e-01,  2.782778002350052e-01, -3.900780162068860e-01, -5.111694992392808e-01,  1.079584967341858e+00,  8.558251150976710e-01,  1.026892998529636e-01,  3.455689789223623e-02
  2.090000000000000e+00, -4.485093217882800e-01,  2.941960866309037e-01,  1.314424571257322e-01,  7.099072287342436e-01, -3.191954454045374e-01,  1.314424571257110e-01,  2.822211126987357e-01, -3.914550691706750e-01, -5.123384907967010e-01,  1.089349373658273e+00,  8.554779028774806e-01,  9.744616245439963e-02,  3.493618517107477e-02
  2.100000000000000e+00, -4.481849362718904e-01,  2.972930958608675e-01,  1.336150617716557e-01,  7.100080585033867e-01, -3.196460563731809e-01,  1.336150617716315e-01,  2.871955592869161e-01, -3.933298672685487e-01, -5.145673944167143e-01,  1.097735062491692e+00,  8.555228048665641e-01,  9.239879573628040e-02,  3.532143887859372e-02
  2.110000000000000e+00, -4.478458995733636e-01,  2.999654312836018e-01,  1.354947460417425e-01,  7.101047888803470e-01, -3.200322718086062e-01,  1.354947460417187e-01,  2.927287489050441e-01, -3.954171981809840e-01, -5.173233872661270e-01,  1.104631320582750e+00,  8.559381632380895e-01,  8.770006394154284e-02,  3.571498036399327e-02
  2.120000000000000e+00, -4.475093919668965e-01,  3.018870553860282e-01,  1.368421531243854e-01,  7.101858204778116e-01, -3.203045591273512e-01,  1.368421531243609e-01,  2.983133424769048e-01, -3.973846680448176e-01, -5.200412284948055e-01,  1.109934669589010e+00,  8.566811161739996e-01,  8.349699780735542e-02,  3.611295628427195e-02
  2.130000000000000e+00, -4.471864109971029e-01,  3.027688967827067e-01,  1.374421700227435e-01,  7.102405564844173e-01, -3.204184388618729e-01,  1.374421700227216e-01,  3.035209695961028e-01, -3.989403075456850e-01, -5.222515429611401e-01,  1.113551799132384e+00,  8.577031969964164e-01,  7.991628957335517e-02,  3.650748348514462e-02
  2.140000000000000e+00, -4.468864027850256e-01,  3.024078786674322e-01,  1.371447152813679e-01,  7.102616224031600e-01, -3.203428675782496e-01,  1.371447152813403e-01,  3.080795040648419e-01, -3.998988588418108e-01, -5.236680792710362e-01,  1.115400910989958e+00,  8.589653464476985e-01,  7.706003864793254e-02,  3.688926943821288e-02
  2.150000000000000e+00, -4.466219727831411e-01,  3.007086966542354e-01,  1.358852572938977e-01,  7.102462216797411e-01, -3.200643798212974e-01,  1.358852572938682e-01,  3.118993861644939e-01, -4.002108658987272e-01, -5.242171396367774e-01,  1.115411118148791e+00,  8.604423479118726e-01,  7.501121849562242e-02,  3.724947443464383e-02
  2.160000000000000e+00, -4.464105232169476e-01,  2.976848275889388e-01,  1.336871600001061e-01,  7.101964524716384e-01, -3.195875078690296e-01,  1.336871600000712e-01,  3.150539879150436e-01, -3.999593646614512e-01, -5.240171524013186e-01,  1.113518648740961e+00,  8.621196216129510e-01,  7.384040936034730e-02,  3.758083736998236e-02
