Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisRotZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxExtension,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.PelvisThoraxRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxLateralBending,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_Trunk.SkullThoraxRotation
 1.900000000000000e+000, 3.493712175280694e-001, 9.329907803357252e-001,-2.931916565456418e-001,-6.377138115435717e-002, 4.221343840209468e-002, 4.401122595619319e-004,-1.092022238798520e-001, 1.155682718947007e-001,-7.949788331112555e-003,-1.477115695387617e-001, 1.821967118790348e-003, 2.132657613132658e-001
 1.910000000000000e+000, 3.607739677893020e-001, 9.334723697194705e-001,-2.925601019207373e-001,-6.007632022412922e-002, 3.657697842666452e-002, 2.501279253726048e-003,-1.120667000221770e-001, 1.097973823099584e-001, 8.671142002329207e-004,-1.508968817559948e-001, 4.267867900036013e-003, 2.148515624616247e-001
 1.920000000000000e+000, 3.721303820956815e-001, 9.337719003641972e-001,-2.919499638686918e-001,-5.618281026017801e-002, 3.086688618357103e-002, 4.429521314012581e-003,-1.150368874088312e-001, 1.036132493285189e-001, 9.442242784894653e-003,-1.542523470820326e-001, 6.391046170802201e-003, 2.162517997239214e-001
 1.930000000000000e+000, 3.834412080068900e-001, 9.338888734725986e-001,-2.913634378723118e-001,-5.215639424241082e-002, 2.512826764358023e-002, 6.158600173131081e-003,-1.180369006842352e-001, 9.710844637817931e-002, 1.776224142154230e-002,-1.577573442491331e-001, 8.224866993426481e-003, 2.174546767672675e-001
 1.940000000000000e+000, 3.947079263099951e-001, 9.338234341053856e-001,-2.908032807631155e-001,-4.808474536188938e-002, 1.940545955149742e-002, 7.620953497215715e-003,-1.209819142807230e-001, 9.041003741072547e-002, 2.580706192881497e-002,-1.613789748878678e-001, 9.820502638410337e-003, 2.184369128859332e-001
 1.950000000000000e+000, 4.059330723337097e-001, 9.335765685915252e-001,-2.902723795704508e-001,-4.407117430249646e-002, 1.373785029012531e-002, 8.753434950183442e-003,-1.237845036698276e-001, 8.366869316664168e-002, 3.355276440326685e-002,-1.650708244132230e-001, 1.123829374700087e-002, 2.191666922952808e-001
 1.960000000000000e+000, 4.171204629933447e-001, 9.331504187089356e-001,-2.897735773553300e-001,-4.022458072095082e-002, 8.159236615930210e-003, 9.503688468079521e-003,-1.263630440096797e-001, 7.704284562151721e-002, 4.097008666117927e-002,-1.687741877934614e-001, 1.253832340635607e-002, 2.196069972056098e-001
 1.970000000000000e+000, 4.282753895201817e-001, 9.325485562658188e-001,-2.893096451495807e-001,-3.664979920538777e-002, 2.699203952140294e-003, 9.836197333121322e-003,-1.286505231405560e-001, 7.068384127871483e-002, 4.802201131622054e-002,-1.724223598924006e-001, 1.377365040507044e-002, 2.197189241080312e-001
 1.980000000000000e+000, 4.394046366219953e-001, 9.317760710490805e-001,-2.888831135489433e-001,-3.344130681341417e-002,-2.615655859043553e-003, 9.735603588049775e-003,-1.306004238012794e-001, 6.472598105980498e-002, 5.466457275722207e-002,-1.759462844470669e-001, 1.498580954526196e-002, 2.194668513632543e-001
 1.990000000000000e+000, 4.505166312513977e-001, 9.308394806116722e-001,-2.884960342381841e-001,-3.068052394772750e-002,-7.761650635656370e-003, 9.207191961744998e-003,-1.321883588407996e-001, 5.928196764948842e-002, 6.085147766286270e-002,-1.792788728195420e-001, 1.620184303180397e-002, 2.188257567826043e-001
