Main.Studies.MarkerTracking.t,Main.HumanModel.BodyModel.Interface.Left.HipFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipAbduction.Pos[0],Main.HumanModel.BodyModel.Interface.Left.HipExternalRotation.Pos[0],Main.HumanModel.BodyModel.Interface.Left.KneeFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.AnklePlantarFlexion.Pos[0],Main.HumanModel.BodyModel.Interface.Left.SubTalarEversion.Pos[0]
  1.320000000000000e+00, -3.541504033687292e-01, -2.800391597866936e-02,  1.423049536728793e-01,  1.789678418266095e-01, -3.152256349951333e-01,  8.867131536135205e-02
  1.330000000000000e+00, -3.567105096673708e-01, -2.538499775471004e-02,  1.421992760908883e-01,  1.819937938048086e-01, -3.135182340516818e-01,  8.352207909777179e-02
  1.340000000000000e+00, -3.591419451163526e-01, -2.245317634845745e-02,  1.421234104819606e-01,  1.855176500646898e-01, -3.112578621412168e-01,  7.815999072777757e-02
  1.350000000000000e+00, -3.614216260938554e-01, -1.920600927106819e-02,  1.420975270890180e-01,  1.895915352664165e-01, -3.083986276822089e-01,  7.255473463623160e-02
  1.360000000000000e+00, -3.635231782288710e-01, -1.564628026491466e-02,  1.421419358287249e-01,  1.942678762690123e-01, -3.048941708827075e-01,  6.667357964316739e-02
  1.370000000000000e+00, -3.654169357964583e-01, -1.178213024858876e-02,  1.422762081370106e-01,  1.995988783126851e-01, -3.006985347063659e-01,  6.048278328050345e-02
  1.380000000000000e+00, -3.670701372627211e-01, -7.626885545661821e-03,  1.425184244429952e-01,  2.056359434636796e-01, -2.957671069492318e-01,  5.394921451100879e-02
  1.390000000000000e+00, -3.684473189234080e-01, -3.198580650437099e-03,  1.428846005429554e-01,  2.124290363339708e-01, -2.900576147818419e-01,  4.704215675822788e-02
  1.400000000000000e+00, -3.695108926609148e-01,  1.480797501426157e-03,  1.433883229890301e-01,  2.200260013684807e-01, -2.835311586615767e-01,  3.973525067538502e-02
  1.410000000000000e+00, -3.702218799755015e-01,  6.386289291643976e-03,  1.440405976611560e-01,  2.284718346229727e-01, -2.761532804702766e-01,  3.200853114657118e-02
  1.420000000000000e+00, -3.705407647835310e-01,  1.149109003287552e-02,  1.448498907398485e-01,  2.378079111674147e-01, -2.678950699098328e-01,  2.385050434068215e-02
  1.430000000000000e+00, -3.704284233491134e-01,  1.676773607463544e-02,  1.458223208893730e-01,  2.480711675479330e-01, -2.587343219378040e-01,  1.526019782679671e-02
  1.440000000000000e+00, -3.698470912442285e-01,  2.218925667090743e-02,  1.469619482033380e-01,  2.592932376003463e-01, -2.486567645836953e-01,  6.249100760812830e-03
  1.450000000000000e+00, -3.687613332788175e-01,  2.773020522767089e-02,  1.482711005379416e-01,  2.714995400903619e-01, -2.376573788415324e-01, -3.157106047852655e-03
  1.460000000000000e+00, -3.671389906925569e-01,  3.336749804593198e-02,  1.497506807991943e-01,  2.847083188306216e-01, -2.257418286788632e-01, -1.291714589528772e-02
  1.470000000000000e+00, -3.649520878411083e-01,  3.908100880190357e-02,  1.514004077809256e-01,  2.989296407438883e-01, -2.129280079576214e-01, -2.297319417955922e-02
  1.480000000000000e+00, -3.621776856733982e-01,  4.485388970993021e-02,  1.532189557811312e-01,  3.141643651132280e-01, -1.992476911840306e-01, -3.325050776762765e-02
  1.490000000000000e+00, -3.587986699599948e-01,  5.067261247752564e-02,  1.552039719558557e-01,  3.304031076875605e-01, -1.847482463830399e-01, -4.365775652638573e-02
  1.500000000000000e+00, -3.548044581268351e-01,  5.652674127818758e-02,  1.573519633303474e-01,  3.476252356697682e-01, -1.694943321222688e-01, -5.408815598177677e-02
  1.510000000000000e+00, -3.501916004810481e-01,  6.240846452903615e-02,  1.596580569048607e-01,  3.657979424575594e-01, -1.535694598103643e-01, -6.442146310152988e-02
  1.520000000000000e+00, -3.449642415052445e-01,  6.831192214406845e-02,  1.621156471187470e-01,  3.848754626040538e-01, -1.370772617144990e-01, -7.452684495749716e-02
  1.530000000000000e+00, -3.391343975701199e-01,  7.423237124296178e-02,  1.647159566439357e-01,  4.047984956317871e-01, -1.201422715110972e-01, -8.426656410854245e-02
  1.540000000000000e+00, -3.327220021040709e-01,  8.016523813540433e-02,  1.674475504668541e-01,  4.254939099361277e-01, -1.029100056613563e-01, -9.350034894894275e-02
  1.550000000000000e+00, -3.257546710784598e-01,  8.610511000693322e-02,  1.702958594607482e-01,  4.468747931484381e-01, -8.554613874233905e-02, -1.020902385475078e-01
  1.560000000000000e+00, -3.182671530081396e-01,  9.204472736423619e-02,  1.732427857377498e-01,  4.688409015537120e-01, -6.823460092786582e-02, -1.099056186718351e-01
  1.570000000000000e+00, -3.103004493448587e-01,  9.797404749748129e-02,  1.762664732233016e-01,  4.912795383929416e-01, -5.117449425815015e-02, -1.168281100353525e-01
  1.580000000000000e+00, -3.019006219145741e-01,  1.038794572777553e-01,  1.793413270242184e-01,  5.140668604811232e-01, -3.457582393972713e-02, -1.227559435362887e-01
  1.590000000000000e+00, -2.931173401321313e-01,  1.097432161149678e-01,  1.824383490718469e-01,  5.370695780043767e-01, -1.865416238393781e-02, -1.276074714169877e-01
  1.600000000000000e+00, -2.840022563227890e-01,  1.155432020070275e-01,  1.855258234123146e-01,  5.601469783609907e-01, -3.624491316395895e-03, -1.313235242099832e-01
  1.610000000000000e+00, -2.746073256178708e-01,  1.212530122436788e-01,  1.885703358815717e-01,  5.831531774221916e-01,  1.030541954211333e-02, -1.338684296163425e-01
  1.620000000000000e+00, -2.649832013074918e-01,  1.268424357788078e-01,  1.915380584932821e-01,  6.059394855817862e-01,  2.294166098306859e-02, -1.352296494718669e-01
  1.630000000000000e+00, -2.551778330844085e-01,  1.322782712325483e-01,  1.943961807225913e-01,  6.283567747371723e-01,  3.411039839185689e-02, -1.354161437723461e-01
  1.640000000000000e+00, -2.452353737924669e-01,  1.375254210528996e-01,  1.971143395264590e-01,  6.502577457986921e-01,  4.366322453718388e-02, -1.344557099816846e-01
  1.650000000000000e+00, -2.351954633212991e-01,  1.425481579314478e-01,  1.996658946566872e-01,  6.714990213117601e-01,  5.148131527447717e-02, -1.323916464119761e-01
  1.660000000000000e+00, -2.250929125411686e-01,  1.473114416629109e-01,  2.020289162775483e-01,  6.919430184624686e-01,  5.747818441158670e-02, -1.292791332246794e-01
  1.670000000000000e+00, -2.149577635349255e-01,  1.517821667189443e-01,  2.041867924460804e-01,  7.114595877274644e-01,  6.160098376706246e-02, -1.251817089816690e-01
  1.680000000000000e+00, -2.048156625231356e-01,  1.559302412870243e-01,  2.061284149634377e-01,  7.299274262982334e-01,  6.383043631603237e-02, -1.201681531470004e-01
  1.690000000000000e+00, -1.946884546488108e-01,  1.597294315439430e-01,  2.078479530883445e-01,  7.472352897475518e-01,  6.417960217901995e-02, -1.143099836647356e-01
  1.700000000000000e+00, -1.845948980689569e-01,  1.631579425733802e-01,  2.093442675718531e-01,  7.632830297547762e-01,  6.269174517569774e-02, -1.076796655211629e-01
  1.710000000000000e+00, -1.745513987268913e-01,  1.661987418884301e-01,  2.106200481491240e-01,  7.779824814566593e-01,  5.943758759409879e-02, -1.003495206704422e-01
  1.720000000000000e+00, -1.645726841514061e-01,  1.688396574851727e-01,  2.116807753757107e-01,  7.912582141065733e-01,  5.451221771506502e-02, -9.239124527982019e-02
  1.730000000000000e+00, -1.546723601622817e-01,  1.710732971772198e-01,  2.125336141951225e-01,  8.030481464896191e-01,  4.803186002294588e-02, -8.387588288102356e-02
  1.740000000000000e+00, -1.448633232425654e-01,  1.728968398612785e-01,  2.131863443595736e-01,  8.133040167676331e-01,  4.013064690799102e-02, -7.487407158172805e-02
  1.750000000000000e+00, -1.351580285757892e-01,  1.743117445765083e-01,  2.136464239683082e-01,  8.219916872225048e-01,  3.095745833911670e-02, -6.545637651512923e-02
  1.760000000000000e+00, -1.255686354295944e-01,  1.753234129567183e-01,  2.139202682424705e-01,  8.290912589026813e-01,  2.067283573272117e-02, -5.569353108227255e-02
  1.770000000000000e+00, -1.161070653587213e-01,  1.759408282768509e-01,  2.140128067605292e-01,  8.345969698592300e-01,  9.445937646048381e-03, -4.565643933423193e-02
  1.780000000000000e+00, -1.067850136720664e-01,  1.761761826918558e-01,  2.139273589899246e-01,  8.385168536394280e-01, -2.548507568959889e-03, -3.541583528354097e-02
  1.790000000000000e+00, -9.761395132419542e-02,  1.760444955592786e-01,  2.136658405921108e-01,  8.408721418324673e-01, -1.513328428943725e-02, -2.504155139436933e-02
  1.800000000000000e+00, -8.860514444211620e-02,  1.755632210971525e-01,  2.132292829539072e-01,  8.416964055239277e-01, -2.813180738936315e-02, -1.460141443763770e-02
  1.810000000000000e+00, -7.976970456762787e-02,  1.747518432376676e-01,  2.126186179900774e-01,  8.410344449523417e-01, -4.137123326872548e-02, -4.159855805662661e-03
  1.820000000000000e+00, -7.111866715352154e-02,  1.736314586753680e-01,  2.118356525450973e-01,  8.389409534874129e-01, -5.468548121486318e-02,  6.223614389253911e-03
  1.830000000000000e+00, -6.266308172018088e-02,  1.722243543389348e-01,  2.108841350868354e-01,  8.354789995788637e-01, -6.791805237392187e-02,  1.649587561760340e-02
  1.840000000000000e+00, -5.441408678464428e-02,  1.705535910196929e-01,  2.097708049119831e-01,  8.307183863193739e-01, -8.092452187854815e-02,  2.661139699715208e-02
  1.850000000000000e+00, -4.638295813654954e-02,  1.686425262552413e-01,  2.085063135864946e-01,  8.247339655895455e-01, -9.357435916381053e-02,  3.653288120624024e-02
  1.860000000000000e+00, -3.858097741970455e-02,  1.665147771229090e-01,  2.071059120241679e-01,  8.176039455765327e-01, -1.057533134632511e-01,  4.623174669264846e-02
  1.870000000000000e+00, -3.101941455007655e-02,  1.641934591782233e-01,  2.055898437092915e-01,  8.094083789863765e-01, -1.173631398244687e-01,  5.568710244897504e-02
  1.880000000000000e+00, -2.370918316494018e-02,  1.617012408845997e-01,  2.039833607004009e-01,  8.002277255756428e-01, -1.283226927920996e-01,  6.488483878393020e-02
  1.890000000000000e+00, -1.666050806854882e-02,  1.590600990745890e-01,  2.023163762827359e-01,  7.901416824665688e-01, -1.385675734111260e-01,  7.381583060230476e-02
  1.900000000000000e+00, -9.882488788547913e-03,  1.562912038658060e-01,  2.006227567954626e-01,  7.792282440201403e-01, -1.480494700922206e-01,  8.247384649239024e-02
  1.910000000000000e+00, -3.382617743060281e-03,  1.534148501001187e-01,  1.989393033301974e-01,  7.675630074173024e-01, -1.567351268548731e-01,  9.085333709843117e-02
  1.920000000000000e+00,  2.833702809919392e-03,  1.504504183954680e-01,  1.973044950805987e-01,  7.552187070003074e-01, -1.646050459526308e-01,  9.894735093942815e-02
  1.930000000000000e+00,  8.763597028452150e-03,  1.474163478872397e-01,  1.957570818814574e-01,  7.422649438410491e-01, -1.716520297195536e-01,  1.067458061105318e-01
