---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.FileName = "RTOE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTOE.MarkerPositionFile.pz
 4.042135668789789e+000   3.412357344905999e-001  -3.909636463402836e-001   7.888394515685603e-002
 4.055776433120999e+000   3.478189791977511e-001  -3.887347768243734e-001   6.913453941466666e-002
 4.069417197452210e+000   3.526961480636351e-001  -3.875272522328471e-001   6.143870867675445e-002
 4.083057961783420e+000   3.560209858035401e-001  -3.868801697571936e-001   5.603225464212691e-002
 4.096698726114631e+000   3.582283559944782e-001  -3.863652112977731e-001   5.275010920847041e-002
 4.110339490445841e+000   3.596495690963034e-001  -3.858512160959483e-001   5.102238813120669e-002
 4.123980254777051e+000   3.605335802502174e-001  -3.854104116653154e-001   5.018126263962815e-002
 4.137621019108262e+000   3.610853622229558e-001  -3.850923848041219e-001   4.975011901381728e-002
 4.151261783439472e+000   3.614504965527223e-001  -3.848861314120970e-001   4.949135156020521e-002
 4.164902547770683e+000   3.617138759277140e-001  -3.847646132758117e-001   4.930937800439713e-002
 4.178543312101893e+000   3.619214822447723e-001  -3.847203867333540e-001   4.915632743320889e-002
 4.192184076433104e+000   3.620981245647917e-001  -3.847706894937737e-001   4.900308751392887e-002
 4.205824840764314e+000   3.622529171579701e-001  -3.849274047010812e-001   4.882930107558892e-002
 4.219465605095524e+000   3.624044210940419e-001  -3.851791687822903e-001   4.861783968931738e-002
 4.233106369426735e+000   3.625752701421391e-001  -3.854894304860219e-001   4.837336293662531e-002
 4.246747133757945e+000   3.627546654571255e-001  -3.858168829898325e-001   4.813271528288871e-002
 4.260387898089156e+000   3.629083392563927e-001  -3.861471845650961e-001   4.796042247526623e-002
 4.274028662420366e+000   3.630236801615866e-001  -3.864976172817022e-001   4.792003396019166e-002
 4.287669426751577e+000   3.631249571674581e-001  -3.868860098864323e-001   4.801991220759365e-002
 4.301310191082787e+000   3.632452279911718e-001  -3.872704502328836e-001   4.816233288441371e-002
 4.314950955413997e+000   3.633706805904295e-001  -3.875482122788075e-001   4.817137414805862e-002
 4.328591719745208e+000   3.634440120290969e-001  -3.876850235871658e-001   4.797450186698788e-002
 4.342232484076418e+000   3.634447042770376e-001  -3.877508564727636e-001   4.768447603520946e-002
 4.355873248407629e+000   3.633928800561507e-001  -3.877915354878436e-001   4.740177355134736e-002
 4.369514012738839e+000   3.633355046665615e-001  -3.878129620766467e-001   4.717135861863648e-002
 4.383154777070049e+000   3.633365814622297e-001  -3.878258252208247e-001   4.705822358761490e-002
 4.396795541401260e+000   3.634042608589254e-001  -3.878190452781504e-001   4.705803165902334e-002
 4.410436305732470e+000   3.634851433839398e-001  -3.877662859911011e-001   4.708593303837388e-002
 4.424077070063681e+000   3.635331370966943e-001  -3.876575585179877e-001   4.707530149946328e-002
 4.437717834394891e+000   3.635432684389688e-001  -3.875055972250146e-001   4.701334003482448e-002
 4.451358598726102e+000   3.635387059277529e-001  -3.873692731699858e-001   4.694220610407549e-002
 4.464999363057312e+000   3.635380869518594e-001  -3.873158490424699e-001   4.690903584690504e-002
 4.478640127388522e+000   3.635503544356354e-001  -3.873497519764260e-001   4.691294470265478e-002
 4.492280891719733e+000   3.635992090884160e-001  -3.874375836885307e-001   4.693344528125192e-002
 4.505921656050943e+000   3.637225328754636e-001  -3.875574379560635e-001   4.696361006407480e-002
 4.519562420382154e+000   3.639500644671533e-001  -3.877151194474817e-001   4.699389138117915e-002
 4.533203184713364e+000   3.642908836362848e-001  -3.879372748498836e-001   4.699651212866059e-002
 4.546843949044575e+000   3.647412238970464e-001  -3.882495978306711e-001   4.695695417747745e-002
 4.560484713375785e+000   3.653010533389002e-001  -3.886595412386798e-001   4.689773476478327e-002
 4.574125477706995e+000   3.659812089565013e-001  -3.891624769929749e-001   4.684934645760949e-002
 4.587766242038206e+000   3.668088053551801e-001  -3.897423271215855e-001   4.681263232857304e-002
 4.601407006369416e+000   3.678374351560492e-001  -3.903551447863128e-001   4.676131656535281e-002
 4.615047770700627e+000   3.691545260403274e-001  -3.909186504358722e-001   4.666898464438705e-002
 4.628688535031837e+000   3.708508282443652e-001  -3.913158784161389e-001   4.649604295641722e-002
 4.642329299363047e+000   3.729741551837849e-001  -3.914613210975587e-001   4.615864828669977e-002
 4.655970063694258e+000   3.755294500788294e-001  -3.913843655891193e-001   4.560132248433513e-002
 4.669610828025468e+000   3.785574587306355e-001  -3.912440373897934e-001   4.499435761116668e-002
 4.683251592356679e+000   3.823248931913739e-001  -3.912570776811760e-001   4.491372064935741e-002
 4.696892356687889e+000   3.874517122213444e-001  -3.915895883414235e-001   4.623662528760787e-002
 4.710533121019100e+000   3.947429618618273e-001  -3.923869604098974e-001   4.964376316523707e-002
 4.724173885350310e+000   4.049714415880613e-001  -3.938018050811109e-001   5.514349193377080e-002
 4.737814649681520e+000   4.189487301160922e-001  -3.958835407183952e-001   6.219473084250482e-002
 4.751455414012731e+000   4.375870847651699e-001  -3.985788456117009e-001   7.015522676118934e-002
 4.765096178343941e+000   4.615803301890804e-001  -4.017639568956986e-001   7.843279644788501e-002
 4.778736942675152e+000   4.910450471054002e-001  -4.051408628642344e-001   8.644490088340191e-002
 4.792377707006362e+000   5.256533820164693e-001  -4.083991320136721e-001   9.358285943242506e-002
 4.806018471337572e+000   5.653137113146727e-001  -4.115999541520362e-001   9.927615705742705e-002
 4.819659235668783e+000   6.108403459679132e-001  -4.152808946461547e-001   1.031819232324046e-001
 4.833299999999993e+000   6.634705651214138e-001  -4.200909020981399e-001   1.052923411679913e-001
