---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.FileName = "LANK.txt"
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.LANK.MarkerPositionFile.pz
 4.083057961783420e+000  -4.217754411160101e-001  -1.898901459273511e-001   1.178343439973798e-001
 4.096698726114631e+000  -4.102987913827262e-001  -1.872322632608167e-001   1.273410613361301e-001
 4.110339490445841e+000  -3.965647324574687e-001  -1.842123742828301e-001   1.377035740322946e-001
 4.123980254777051e+000  -3.804542782134368e-001  -1.810956662255878e-001   1.488310386234721e-001
 4.137621019108262e+000  -3.618235513550100e-001  -1.783770402558830e-001   1.604348662363934e-001
 4.151261783439472e+000  -3.405497594370209e-001  -1.763743851480122e-001   1.721566136869409e-001
 4.164902547770683e+000  -3.167348450060921e-001  -1.752325529325391e-001   1.837411673851074e-001
 4.178543312101893e+000  -2.906739402337905e-001  -1.750589654820550e-001   1.949551352038202e-001
 4.192184076433104e+000  -2.625586561743710e-001  -1.758850721774857e-001   2.053360377177137e-001
 4.205824840764314e+000  -2.323819758791016e-001  -1.776718512268430e-001   2.140277831239983e-001
 4.219465605095524e+000  -2.001252150112767e-001  -1.803201508966318e-001   2.200879487492813e-001
 4.233106369426735e+000  -1.659197146057232e-001  -1.836224767512963e-001   2.230322111186672e-001
 4.246747133757945e+000  -1.300261754885495e-001  -1.872959040279476e-001   2.229064404887648e-001
 4.260387898089156e+000  -9.269105270421665e-002  -1.910864908887125e-001   2.199580598586110e-001
 4.274028662420366e+000  -5.401120197572527e-002  -1.948187960184650e-001   2.144292619920952e-001
 4.287669426751577e+000  -1.394852882402595e-002  -1.984051237357963e-001   2.065515440703275e-001
 4.301310191082787e+000   2.757231739686090e-002  -2.018513223417941e-001   1.965863969684481e-001
 4.314950955413997e+000   7.064466714494505e-002  -2.052019420146629e-001   1.848639524012566e-001
 4.328591719745208e+000   1.153444938181303e-001  -2.084569157246302e-001   1.718151897996749e-001
 4.342232484076418e+000   1.616340872325533e-001  -2.115589479151930e-001   1.579438392264520e-001
 4.355873248407629e+000   2.093156133729423e-001  -2.144078596040778e-001   1.437947396820315e-001
