---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.FileName = "RTHI.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTHI.MarkerPositionFile.pz
 4.001213375796158e+000  -8.822774812576698e-002  -5.049655664218770e-001   6.988497054833797e-001
 4.014854140127368e+000  -6.763146771428238e-002  -5.057605121741995e-001   6.978467880185353e-001
 4.028494904458579e+000  -4.677734623193346e-002  -5.066400178210697e-001   6.971429956225290e-001
 4.042135668789789e+000  -2.593692868262245e-002  -5.076934950817876e-001   6.970326489879409e-001
 4.055776433120999e+000  -5.334037540372604e-003  -5.090477591425067e-001   6.978884652960751e-001
 4.069417197452210e+000   1.494164576875724e-002  -5.108072482682564e-001   6.999174186431733e-001
 4.083057961783420e+000   3.486962759371988e-002  -5.129555423936716e-001   7.029368821947108e-001
 4.096698726114631e+000   5.431887180220367e-002  -5.153463778940671e-001   7.064115955619169e-001
 4.110339490445841e+000   7.301199011415085e-002  -5.178131884031230e-001   7.098475193826190e-001
 4.123980254777051e+000   9.064285043089074e-002  -5.201655716786842e-001   7.130159410915945e-001
 4.137621019108262e+000   1.069645412576942e-001  -5.222051777588601e-001   7.156928047265928e-001
 4.151261783439472e+000   1.219750769923935e-001  -5.237177221687199e-001   7.175102070443625e-001
 4.164902547770683e+000   1.360015635527898e-001  -5.244408742046496e-001   7.181863795951335e-001
 4.178543312101893e+000   1.494446673600794e-001  -5.242490335548586e-001   7.178309174312424e-001
 4.192184076433104e+000   1.624889525816583e-001  -5.233806663484556e-001   7.169569264688901e-001
 4.205824840764314e+000   1.749736747602817e-001  -5.224622811243550e-001   7.162388894769490e-001
 4.219465605095524e+000   1.865543098827106e-001  -5.222033657811147e-001   7.162338897363451e-001
 4.233106369426735e+000   1.970581267500419e-001  -5.229583040946475e-001   7.171280896850675e-001
 4.246747133757945e+000   2.066362596921356e-001  -5.245733012916477e-001   7.187139362318921e-001
 4.260387898089156e+000   2.156510066327619e-001  -5.265247212439369e-001   7.205701045932532e-001
 4.274028662420366e+000   2.244724623640700e-001  -5.281981834527711e-001   7.222879914774431e-001
 4.287669426751577e+000   2.333163978085923e-001  -5.292454916590695e-001   7.236710241761417e-001
 4.301310191082787e+000   2.421955847553396e-001  -5.298013815031841e-001   7.248495683677018e-001
 4.314950955413997e+000   2.510544699591431e-001  -5.301972113018169e-001   7.260374235887024e-001
 4.328591719745208e+000   2.599568749629280e-001  -5.305142697360524e-001   7.271469772857950e-001
 4.342232484076418e+000   2.690572781814493e-001  -5.306046033728967e-001   7.279191881830245e-001
 4.355873248407629e+000   2.783772392982848e-001  -5.304688694161339e-001   7.282821846510553e-001
 4.369514012738839e+000   2.878192300977421e-001  -5.302731906625832e-001   7.283517594996883e-001
 4.383154777070049e+000   2.973327729621585e-001  -5.300712504780178e-001   7.282264509731036e-001
 4.396795541401260e+000   3.069178800450717e-001  -5.297875777325612e-001   7.279346005731270e-001
 4.410436305732470e+000   3.165671429226731e-001  -5.294315569673558e-001   7.274929307164596e-001
 4.424077070063681e+000   3.262982040786446e-001  -5.290602041139634e-001   7.269174155462040e-001
 4.437717834394891e+000   3.361268964192609e-001  -5.287157570380006e-001   7.262500911922507e-001
 4.451358598726102e+000   3.460499615111761e-001  -5.283985249931145e-001   7.255113191925672e-001
 4.464999363057312e+000   3.560910356720995e-001  -5.280778541274526e-001   7.246975996444292e-001
 4.478640127388522e+000   3.663142683741083e-001  -5.277504777557347e-001   7.238379443941414e-001
 4.492280891719733e+000   3.768147032706507e-001  -5.274383411424447e-001   7.230177141323142e-001
 4.505921656050943e+000   3.877074913108994e-001  -5.271708142384355e-001   7.223313289297482e-001
 4.519562420382154e+000   3.991068935652621e-001  -5.269207092986570e-001   7.217687065676373e-001
 4.533203184713364e+000   4.111475010946190e-001  -5.265613112786062e-001   7.211850967603483e-001
 4.546843949044575e+000   4.239686732414632e-001  -5.259603549217088e-001   7.204299304228166e-001
 4.560484713375785e+000   4.376422839813486e-001  -5.250807805589542e-001   7.194804253261414e-001
 4.574125477706995e+000   4.521569632282622e-001  -5.239816533848901e-001   7.184411994804761e-001
 4.587766242038206e+000   4.674757218092107e-001  -5.227437582229639e-001   7.174150473190676e-001
 4.601407006369416e+000   4.836051296386276e-001  -5.214060727797683e-001   7.163969473579885e-001
 4.615047770700627e+000   5.006207122333939e-001  -5.199329280923783e-001   7.153227694929711e-001
 4.628688535031837e+000   5.186292877170173e-001  -5.182478913239850e-001   7.141796945849119e-001
 4.642329299363047e+000   5.376892948878499e-001  -5.163143256167230e-001   7.129885068306032e-001
 4.655970063694258e+000   5.577695114623880e-001  -5.141916889381470e-001   7.117647797515019e-001
 4.669610828025468e+000   5.787844439821703e-001  -5.120158444972888e-001   7.104832929770580e-001
 4.683251592356679e+000   6.006377488107304e-001  -5.099472307175942e-001   7.090779526486506e-001
 4.696892356687889e+000   6.231896212009643e-001  -5.080994629633662e-001   7.075204458274913e-001
 4.710533121019100e+000   6.461777297473418e-001  -5.064686951029220e-001   7.059244017937075e-001
 4.724173885350310e+000   6.692013530769683e-001  -5.049921530276375e-001   7.045687419991942e-001
 4.737814649681520e+000   6.918836924494382e-001  -5.036394570812478e-001   7.036623514570329e-001
 4.751455414012731e+000   7.140639576192270e-001  -5.023561299619126e-001   7.031607395535292e-001
 4.765096178343941e+000   7.357361298824405e-001  -5.010246166876132e-001   7.030385875583530e-001
 4.778736942675152e+000   7.571621989996660e-001  -4.996211205306343e-001   7.033158989977968e-001
 4.792377707006362e+000   7.791269406965479e-001  -4.984028043828340e-001   7.041394898686997e-001
 4.806018471337572e+000   8.029436883631410e-001  -4.980589834725218e-001   7.062886874159924e-001
 4.819659235668783e+000   8.301767198857136e-001  -4.996807452621878e-001   7.115214544952633e-001
 4.833299999999993e+000   8.618598020189550e-001  -5.041865995068555e-001   7.217419999210897e-001
