---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.FileName = "RTIB.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RTIB.MarkerPositionFile.pz
 3.673835031847118e+000  -5.535897058693249e-001  -5.065305208876771e-001   4.070184133716043e-001
 3.687475796178328e+000  -5.205956404663882e-001  -5.053001198291820e-001   4.114682965262498e-001
 3.701116560509538e+000  -4.873731139760684e-001  -5.040219759847565e-001   4.147622345307314e-001
 3.714757324840748e+000  -4.539968651741299e-001  -5.026198766586530e-001   4.168465578713179e-001
 3.728398089171958e+000  -4.205559068107757e-001  -5.010747106643009e-001   4.177361619217222e-001
 3.742038853503168e+000  -3.872048030603048e-001  -4.994794637872906e-001   4.175048385337442e-001
 3.755679617834378e+000  -3.543411117622398e-001  -4.980401673788513e-001   4.164309489950531e-001
 3.769320382165588e+000  -3.224512737476495e-001  -4.969603549030918e-001   4.148656258474333e-001
 3.782961146496798e+000  -2.917781916169725e-001  -4.963411315601105e-001   4.129589039233986e-001
 3.796601910828008e+000  -2.622660364999424e-001  -4.961986502753147e-001   4.107141717877197e-001
 3.810242675159218e+000  -2.337961788031828e-001  -4.964847544121758e-001   4.081345970889314e-001
 3.823883439490428e+000  -2.064185539148720e-001  -4.969963427854258e-001   4.051320703768523e-001
 3.837524203821638e+000  -1.802093409568580e-001  -4.974768667014765e-001   4.015749216019448e-001
 3.851164968152848e+000  -1.551038115177839e-001  -4.978391356977991e-001   3.975018011984809e-001
 3.864805732484058e+000  -1.309776133969206e-001  -4.981187982256305e-001   3.931401586355670e-001
 3.878446496815268e+000  -1.077586803640379e-001  -4.983431004793016e-001   3.887839549664193e-001
 3.892087261146478e+000  -8.546062461922695e-002  -4.985182138938828e-001   3.846645309832651e-001
 3.905728025477688e+000  -6.414618024959813e-002  -4.986195940584590e-001   3.808800713412358e-001
 3.919368789808898e+000  -4.384912224231213e-002  -4.985624359045365e-001   3.774271557143407e-001
