---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.FileName = "RHEE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RHEE.MarkerPositionFile.pz
 4.478640127388522e+000   1.677332321131394e-001  -3.761344871459264e-001   5.602850430117343e-002
 4.492280891719733e+000   1.679996105837768e-001  -3.757136280605615e-001   5.791028661670127e-002
 4.505921656050943e+000   1.683720504686752e-001  -3.754091387907379e-001   6.026865910739278e-002
 4.519562420382154e+000   1.689375684729915e-001  -3.752640755764171e-001   6.317136347343766e-002
 4.533203184713364e+000   1.697626565171329e-001  -3.753638030162996e-001   6.664724355385721e-002
 4.546843949044575e+000   1.708600068738161e-001  -3.758180045168981e-001   7.073419144358739e-002
 4.560484713375785e+000   1.722348561734852e-001  -3.766962024009769e-001   7.546777986536306e-002
 4.574125477706995e+000   1.739556891877020e-001  -3.779724109928483e-001   8.090511758957544e-002
 4.587766242038206e+000   1.761643081941162e-001  -3.795276145200505e-001   8.715546121110585e-002
 4.601407006369416e+000   1.790656642895187e-001  -3.811869352514426e-001   9.435738634979367e-002
 4.615047770700627e+000   1.829648569549064e-001  -3.827356622335078e-001   1.026799634298240e-001
 4.628688535031837e+000   1.882964140457136e-001  -3.839389637395462e-001   1.123297631824629e-001
 4.642329299363047e+000   1.955895694086359e-001  -3.846501708152210e-001   1.235065031545998e-001
 4.655970063694258e+000   2.053861063958716e-001  -3.849505070703597e-001   1.363021665768961e-001
 4.669610828025468e+000   2.180848742791987e-001  -3.851885233917501e-001   1.505851740810979e-001
 4.683251592356679e+000   2.337987967091987e-001  -3.858276922876617e-001   1.660162709695174e-001
 4.696892356687889e+000   2.524541407514930e-001  -3.871495202868450e-001   1.822249540871321e-001
 4.710533121019100e+000   2.740245739253315e-001  -3.890095275741790e-001   1.988483541065953e-001
 4.724173885350310e+000   2.985693772218411e-001  -3.908309045906818e-001   2.153610983172897e-001
 4.737814649681520e+000   3.259667755838251e-001  -3.917835732812368e-001   2.309797122200978e-001
 4.751455414012731e+000   3.556007642826163e-001  -3.910181312691020e-001   2.447772630014621e-001
 4.765096178343941e+000   3.864491812233865e-001  -3.880355172676203e-001   2.558903329120351e-001
 4.778736942675152e+000   4.176223038502598e-001  -3.831124487757868e-001   2.636887305788553e-001
 4.792377707006362e+000   4.490814531676530e-001  -3.773239403700275e-001   2.679608501134747e-001
 4.806018471337572e+000   4.820533586853887e-001  -3.721459905635337e-001   2.690590841298424e-001
 4.819659235668783e+000   5.187321397510016e-001  -3.690027562902090e-001   2.676870436735064e-001
 4.833299999999993e+000   5.610544346298703e-001  -3.688098841618372e-001   2.644006518861627e-001
