---- AnyBody Output File ---------------------------------
Study: Main.MarkerModelStudy
Operation: Main.MarkerModelStudy.KinematicAnalysis
----------------------------------------------------------
Constants (Name = Value): 
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.FileName = "RKNE.txt"
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Search = 
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.SepSign = "  "
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.LineSepSign = ""
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.TitleSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.ConstSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.VarSectionOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.ColumnNamesOnOff = On
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.Header.LinePrefix = ""
Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.NumberFormat.Digits = 15
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MarkerModelStudy.t
col1  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.px
col2  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.py
col3  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.pz
----------------------------------------------------------
Main.MarkerModelStudy.t  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.px  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.py  Main.MarkerModelStudy.MarkerModel.Markers.RKNE.MarkerPositionFile.pz
 4.178543312101893e+000   2.391195598788001e-001  -4.974013438692093e-001   4.831632318166081e-001
 4.192184076433104e+000   2.481267942198818e-001  -4.983116449211328e-001   4.828988997050621e-001
 4.205824840764314e+000   2.560428678658245e-001  -4.992530244847492e-001   4.826048992091718e-001
 4.219465605095524e+000   2.626940245582113e-001  -5.003095508853399e-001   4.822130372946391e-001
 4.233106369426735e+000   2.683207050214597e-001  -5.014652413497069e-001   4.817595299344679e-001
 4.246747133757945e+000   2.732451795295489e-001  -5.026537638153125e-001   4.813075771181760e-001
 4.260387898089156e+000   2.776301783827158e-001  -5.038084727238147e-001   4.809203752748971e-001
 4.274028662420366e+000   2.815149928667443e-001  -5.048740956074511e-001   4.806560285519399e-001
 4.287669426751577e+000   2.849781787511800e-001  -5.057849375848413e-001   4.805291216805994e-001
 4.301310191082787e+000   2.882144265836236e-001  -5.064768113257804e-001   4.805120473383866e-001
 4.314950955413997e+000   2.914671426868141e-001  -5.069017533740625e-001   4.805686403719545e-001
 4.328591719745208e+000   2.948869068316919e-001  -5.070292950971246e-001   4.806647110374008e-001
 4.342232484076418e+000   2.984641957355522e-001  -5.068613851172252e-001   4.807632124147276e-001
 4.355873248407629e+000   3.021411929489870e-001  -5.064492799634066e-001   4.808216947024750e-001
 4.369514012738839e+000   3.059523778320236e-001  -5.058966187704889e-001   4.808025745907790e-001
 4.383154777070049e+000   3.100287039791381e-001  -5.053195027683928e-001   4.806841202182243e-001
 4.396795541401260e+000   3.144634964805748e-001  -5.048069184991321e-001   4.804678960385844e-001
 4.410436305732470e+000   3.192100727035526e-001  -5.044380151757515e-001   4.801933358723415e-001
 4.424077070063681e+000   3.241564496593660e-001  -5.042661012884387e-001   4.798921365371238e-001
 4.437717834394891e+000   3.292796258936209e-001  -5.042548291837733e-001   4.795392796363002e-001
